last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file
Graff,Gregory,Ag and Food,2022,BC,,,1,Graff;Seidl,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,Google Scholar
Seidl,Andrew,Ag and Food,2022,BC,,,1,Graff;Seidl,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,Google Scholar
Hoag,Dana,ENRE,2024,BC,,N,0,,Reducing wind erosion damages and the Conservation Reserve Program,CRC Press,10.1201/9781003574040-12,Google Scholar
Hoag,Dana,ENRE,2024,BC,,N,0,,Is US soil conservation policy a sustainable development?,CRC Press,isbn:9780849300059,Google Scholar
Graff,Gregory,Ag and Food,2021,BC,,,0,,Venture Capital and the Transformation of Private R&D for Agriculture,Economics of Research and Innovation in Agriculture,10.7208/chicago/9780226779195-007,Google Scholar
Jablonski,Becca,Ag and Food,2022,BC,,,1,Jablonski;Thilmany,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),,
Thilmany,Dawn,Ag and Food,2022,BC,,,1,Jablonski;Thilmany,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),,
Jablonski,Becca,Ag and Food,2022,BC,,,0,,"Inquiry within, between, and beyond disciplines",Food Systems Modeling (Elsevier),,
Countryman,Amanda,Ag and Food,2021,BC,,N,0,,Economics of Invasive Species (Chapter 14),"Invasive Species in Forests and Rangelands of the US, Springer",10.1007/978-3-030-45367-1_14,countrymanamanda.txt
Jablonski,Becca,Ag and Food,2021,BC,,,0,,Beyond GDP: Measuring Rural Assets and Why It Matters. Ch. 40,Investing in Rural Prosperity,,
Graff,Gregory,Ag and Food,2025,BC,,,0,,Intellectual Property in Agricultural Biotechnology: Strategies for Open Access,"Plant Biotechnology and Genetics: Principles, Techniques, and Applications",10.1002/9780470282014.ch14,Google Scholar
Kroll,Stephan,ENRE,2022,BC,,N,0,,A Small Collection of Pen-and-Paper Classroom Experiments for Teaching Environmental Economics,Teaching Environmental and Natural Resource Economics,10.4337/9781788114288.00018,krollstephan.txt
Koontz,Stephen,Ag and Food,2021,BC,,N,0,,Another Look at Alternative Marketing Arrangement Use by the Cattle and Beef Industry,"The U.S. Beef Supply Chain, Texas A&M AFPC",nodoi,koontzstephen.txt
Goemans,Chris,ENRE,2024,BC,,Y,1,Goemans;Manning,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,goemanschris.txt
Manning,Dale,ENRE,2024,BC,,U,1,Goemans;Manning,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,goemanschris.txt
DeLay,Nathan,Ag and Food,2025,CP,,,0,,Incorporating precision management technologies to reduce beef cattle enteric CH4 emissions on rangelands,Animal-Science proceedings,10.1016/j.anscip.2025.08.183,Google Scholar
Ritten,John,Ag and Food,2026,JA,a,,0,,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,African Journal of Range & Forage Science,10.2989/10220119.2025.2585814,Google Scholar
Costanigro,Marco,Ag and Food,2021,JA,a,Y,1,Costanigro;Jablonski,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,costanigromarco.txt
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Costanigro;Jablonski,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,costanigromarco.txt
Cleary,Rebecca,Ag and Food,2022,JA,a,U,1,Chenarides;Cleary,Food Retail Profits Competition and the Great Recession,Agribusiness: An International Journal,10.1002/agr.21743,chenarideslauren.txt
Chenarides,Lauren,Ag and Food,2025,JA,a,N,0,Chenarides;Cleary,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,Agribusiness: An International Journal,10.1002/agr.22051,chenarideslauren.txt
Thilmany,Dawn,Ag and Food,2025,JA,a,N,1,Jablonski;Thilmany,A Baseline Assessment of School Food Spending and Local Procurement,Agricultural and Resource Economics Review,10.1017/age.2025.11,thilmanydawn.txt
DeLay,Nathan,Ag and Food,2023,JA,a,Y,0,,Estimating US Farmers Speed of Climate Change Adaptation: Subsurface Tile Drainage,Agricultural Finance Review,10.1108/AFR-02-2023-0027,delaynathan.txt
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/AFR-05-2021-0056,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/AFR-05-2021-0056,thilmanydawn.txt
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/AFR-05-2021-0070,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/AFR-05-2021-0070,thilmanydawn.txt
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,1,Bonanno;Jablonski,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,bonannoalessandrocv.txt
Jablonski,Becca,Ag and Food,2023,JA,a,U,1,Bonanno;Jablonski,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,bonannoalessandrocv.txt
Goemans,Chris,ENRE,2022,JA,a,N,1,Goemans;Manning,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,goemanschris.txt
Manning,Dale,ENRE,2022,JA,a,U,1,Goemans;Manning,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,goemanschris.txt
Mooney,Daniel,Ag and Food,2023,JA,a,Y,0,,Developing a Crop Water Production Function for Alfalfa Under Deficit Irrigation,Agriculture,10.3390/agriculture13040831,mooneydaniel.txt
Bayham,Jude,ENRE,2026,JA,a,Y,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,Google Scholar
Berning,Joshua,Ag and Food,2026,JA,a,N,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,bonannoalessandrocv.txt
Bonanno,Alessandro,Ag and Food,2026,JA,a,N,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,bonannoalessandrocv.txt
Graff,Gregory,Ag and Food,2026,JA,a,N,0,,The role of venture-financed startups in innovation for US agriculture,American Journal of Agricultural Economics,10.1002/ajae.70083,graffgregory.txt
Magnan,Nicholas,Ag and Food,2021,JA,a,Y,0,,Can Experiential Games and Improved Risk Coverage Raise Demand for Index Insurance,American Journal of Agricultural Economics,10.1111/ajae.12124,magnannicholas.txt
Burkhardt,Jesse,ENRE,2021,JA,a,U,1,Burkhardt;Hill,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,hillalexandra.txt
Hill,Alexandra,Ag and Food,2021,JA,a,N,1,Burkhardt;Hill,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,hillalexandra.txt
Countryman,Amanda,Ag and Food,2021,JA,a,N,0,,The Importance of Agriculture in the Economy: Impacts from COVID-19,American Journal of Agricultural Economics,10.1111/ajae.12212,countrymanamanda.txt
Burkhardt,Jesse,ENRE,2022,JA,a,N,0,,Conformity and Conservation: Home Landscaping and Water Conservation,American Journal of Agricultural Economics,10.1111/ajae.12224,burkhardtjesse.txt
Goemans,Chris,ENRE,2022,JA,a,Y,1,Goemans;Manning;Suter,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,goemanschris.txt
Manning,Dale,ENRE,2022,JA,a,Y,1,Goemans;Manning;Suter,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,manningdale.txt
Suter,Jordan,ENRE,2022,JA,a,N,1,Goemans;Manning;Suter,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,suterjordan.txt
Chenarides,Lauren,Ag and Food,2023,JA,a,N,0,,Dynamic Model of Entry: Dollar Stores,American Journal of Agricultural Economics,10.1111/ajae.12404,chenarideslauren.txt
Suter,Jordan,ENRE,2024,JA,a,N,0,,Social Comparisons and Groundwater Use: Evidence from Colorado and Kansas,American Journal of Agricultural Economics,10.1111/ajae.12415,suterjordan.txt
