last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file,openalex_work_id,openalex_type,type_mapping_rule,type_requires_review,extension_output,added_from_openalex,added_from_coauthor,author_match_rule,discovery_date,edge_2026,publication_key,affiliated_at_publication,affiliation_status
Graff,Gregory,Ag and Food,2022,BC,NA,NA,1,Graff;Seidl,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1201/9781003149774-10,1,Active CSU affiliation
Seidl,Andrew,Ag and Food,2022,BC,NA,NA,1,Graff;Seidl,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1201/9781003149774-10,1,Active CSU affiliation
Hoag,Dana,ENRE,2024,BC,NA,N,0,NA,Reducing wind erosion damages and the Conservation Reserve Program,CRC Press,10.1201/9781003574040-12,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1201/9781003574040-12,1,Active CSU affiliation
Hoag,Dana,ENRE,2024,BC,NA,N,0,NA,Is US soil conservation policy a sustainable development?,CRC Press,isbn:9780849300059,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,titleyear:is us soil conservation policy a sustainable development|2024,1,Active CSU affiliation
Graff,Gregory,Ag and Food,2021,BC,NA,NA,0,NA,Venture Capital and the Transformation of Private R&D for Agriculture,Economics of Research and Innovation in Agriculture,10.7208/chicago/9780226779195-007,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.7208/chicago/9780226779195-007,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2022,BC,NA,NA,1,Jablonski;Thilmany,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,titleyear:framing and evaluating the economic impacts of food system p|2022,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2022,BC,NA,NA,1,Jablonski;Thilmany,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,titleyear:framing and evaluating the economic impacts of food system p|2022,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2022,BC,NA,NA,0,NA,"Inquiry within, between, and beyond disciplines",Food Systems Modeling (Elsevier),NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,titleyear:inquiry within between and beyond disciplines|2022,1,Active CSU affiliation
Countryman,Amanda,Ag and Food,2021,BC,NA,N,0,NA,Economics of Invasive Species (Chapter 14),"Invasive Species in Forests and Rangelands of the US, Springer",10.1007/978-3-030-45367-1_14,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1007/978-3-030-45367-1_14,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2021,BC,NA,NA,0,NA,Beyond GDP: Measuring Rural Assets and Why It Matters. Ch. 40,Investing in Rural Prosperity,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,titleyear:beyond gdp measuring rural assets and why it matters ch 40|2021,1,Active CSU affiliation
Graff,Gregory,Ag and Food,2025,BC,NA,NA,0,NA,Intellectual Property in Agricultural Biotechnology: Strategies for Open Access,"Plant Biotechnology and Genetics: Principles, Techniques, and Applications",10.1002/9780470282014.ch14,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/9780470282014.ch14,1,Active CSU affiliation
Kroll,Stephan,ENRE,2022,BC,NA,N,0,NA,A Small Collection of Pen-and-Paper Classroom Experiments for Teaching Environmental Economics,Teaching Environmental and Natural Resource Economics,10.4337/9781788114288.00018,krollstephan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.4337/9781788114288.00018,1,Active CSU affiliation
Koontz,Stephen,Ag and Food,2021,BC,NA,N,0,NA,Another Look at Alternative Marketing Arrangement Use by the Cattle and Beef Industry,"The U.S. Beef Supply Chain, Texas A&M AFPC",nodoi,koontzstephen.txt,NA,NA,NA,0,0,0,0,NA,NA,0,titleyear:another look at alternative marketing arrangement use by the|2021,1,Active CSU affiliation
