lead_unit_code,lead_unit_name,year,proposals_submitted,awards_received,total_awarded_dollars,partial_year,year_basis
1101,Dean of Agricultural Sciences,2022,1,0,0,FALSE,Date Sent (proposal submission cohort)
1101,Dean of Agricultural Sciences,2024,4,2,333565.13,FALSE,Date Sent (proposal submission cohort)
1101,Dean of Agricultural Sciences,2025,1,1,250000,FALSE,Date Sent (proposal submission cohort)
1101,Dean of Agricultural Sciences,2026,2,0,0,TRUE,Date Sent (proposal submission cohort)
1170,Soil + Crop Sciences,2021,80,43,16839467.26,FALSE,Date Sent (proposal submission cohort)
1170,Soil + Crop Sciences,2022,74,43,20688092.55,FALSE,Date Sent (proposal submission cohort)
1170,Soil + Crop Sciences,2023,62,41,18059150.77,FALSE,Date Sent (proposal submission cohort)
1170,Soil + Crop Sciences,2024,80,56,31682060.78,FALSE,Date Sent (proposal submission cohort)
1170,Soil + Crop Sciences,2025,69,31,5240297.28,FALSE,Date Sent (proposal submission cohort)
1170,Soil + Crop Sciences,2026,36,10,4068878.58,TRUE,Date Sent (proposal submission cohort)
1171,Animal Sciences,2021,58,29,2617957.99,FALSE,Date Sent (proposal submission cohort)
1171,Animal Sciences,2022,58,31,6706998.3,FALSE,Date Sent (proposal submission cohort)
1171,Animal Sciences,2023,46,23,2339506.79,FALSE,Date Sent (proposal submission cohort)
1171,Animal Sciences,2024,49,20,3976314.48,FALSE,Date Sent (proposal submission cohort)
1171,Animal Sciences,2025,49,14,1843194.77,FALSE,Date Sent (proposal submission cohort)
1171,Animal Sciences,2026,21,4,119764.18,TRUE,Date Sent (proposal submission cohort)
1172,Agricultural + Resource Economics,2021,27,19,3275393.3,FALSE,Date Sent (proposal submission cohort)
1172,Agricultural + Resource Economics,2022,36,23,5168809.17,FALSE,Date Sent (proposal submission cohort)
1172,Agricultural + Resource Economics,2023,30,17,52740418.15,FALSE,Date Sent (proposal submission cohort)
1172,Agricultural + Resource Economics,2024,34,16,1031587.11,FALSE,Date Sent (proposal submission cohort)
1172,Agricultural + Resource Economics,2025,20,8,1082917.96,FALSE,Date Sent (proposal submission cohort)
1172,Agricultural + Resource Economics,2026,6,2,124000.41,TRUE,Date Sent (proposal submission cohort)
1173,Horticulture + Landscape Architecture,2021,47,17,3361310.7,FALSE,Date Sent (proposal submission cohort)
1173,Horticulture + Landscape Architecture,2022,42,17,1655860.54,FALSE,Date Sent (proposal submission cohort)
1173,Horticulture + Landscape Architecture,2023,53,25,2736081.08,FALSE,Date Sent (proposal submission cohort)
1173,Horticulture + Landscape Architecture,2024,33,17,2143646.62,FALSE,Date Sent (proposal submission cohort)
1173,Horticulture + Landscape Architecture,2025,42,15,1224455.67,FALSE,Date Sent (proposal submission cohort)
1173,Horticulture + Landscape Architecture,2026,24,4,93602.96,TRUE,Date Sent (proposal submission cohort)
1177,Agricultural Biology,2021,80,46,9180144.3,FALSE,Date Sent (proposal submission cohort)
1177,Agricultural Biology,2022,64,37,7209525.87,FALSE,Date Sent (proposal submission cohort)
1177,Agricultural Biology,2023,76,50,6875622.57,FALSE,Date Sent (proposal submission cohort)
1177,Agricultural Biology,2024,78,46,8273407.49,FALSE,Date Sent (proposal submission cohort)
1177,Agricultural Biology,2025,74,35,4098116.46,FALSE,Date Sent (proposal submission cohort)
1177,Agricultural Biology,2026,44,10,791398.15,TRUE,Date Sent (proposal submission cohort)
