investigator_unit_code,investigator_unit_name,project_count,funded_award_count,funded_award_dollars,investigator_count,years_represented
1171,Animal Sciences,9,4,1612131.33,10,2021; 2022; 2023; 2024; 2025
1371,NA,5,0,0,5,2024; 2025
1033,NA,3,2,523028.77,1,2023; 2024; 2025
1372,NA,3,2,523028.77,2,2021; 2023; 2024
1784,NA,3,0,0,2,2021; 2022
1877,NA,3,1,1032843.68,2,2022; 2024
3001,NA,3,0,0,2,2022; 2024
4030,NA,3,1,49993.47,3,2021
0001,NA,2,0,0,2,2021; 2023
1177,Agricultural Biology,2,2,354955.24,6,2022; 2025
1476,NA,2,1,954544.57,1,2021; 2022
1570,NA,2,1,733863.85,1,2021; 2022
1571,NA,2,1,99993.13,1,2022; 2024
1790,NA,2,0,0,1,2021; 2022
4010,NA,2,1,49999996.39,1,2022; 2023
4040,NA,2,2,144634.6,2,2025
4044,NA,2,1,24733.5,2,2023; 2024
0100,NA,1,0,0,1,2023
1101,Dean of Agricultural Sciences,1,0,0,1,2021
1173,Horticulture + Landscape Architecture,1,1,58697.21,1,2023
1373,NA,1,0,0,1,2025
1374,NA,1,0,0,1,2021
147,NA,1,0,0,1,2021
1472,NA,1,1,25649.39,1,2021
1474,NA,1,1,49993.47,1,2021
1678,NA,1,1,25649.39,1,2021
1776,NA,1,0,0,1,2024
1782,NA,1,0,0,1,2024
1873,NA,1,0,0,2,2025
3046,NA,1,1,149997.02,1,2024
4015,NA,1,0,0,1,2024
4020,NA,1,0,0,1,2022
