key_id,year,funded,amount,project_title,investigator_name,investigator_role,investigator_unit_code,investigator_unit_name
K000164021,2025,FALSE,649854.62,Combining Earth Observations with Machine Learning to Detect Agricultural Methane Emissions,"Fischer,Emily V",Co-PI,1371,NA
K000164036,2025,TRUE,17999.1,Yvette Uwineza: The Economic Cost of Reductions in Irrigated Agricultural Land: A Comparison of Permanent Water Sales and Intermittent Fallowing,"Hill,Rebecca Lynn",Key Person,4040,NA
K000164361,2025,FALSE,55000.01,Economic Analysis of Drought-Resistant Forages in Colorado and Wyoming under Future Water Limitations,"Cabot,Perry Edmund",Co-PI,1033,NA
K000164056,2025,FALSE,649990.93,"Estimating U.S. CAFO Ammonia Emissions Using Satellite and Ground Observations for Economic, Health, and Policy Analysis","Collett Jr,Jeffrey L",Co-PI,1371,NA
K000164056,2025,FALSE,649990.93,"Estimating U.S. CAFO Ammonia Emissions Using Satellite and Ground Observations for Economic, Health, and Policy Analysis","Corwin,Kimberley A",Co-PI,1371,NA
K000163826,2025,FALSE,650000.01,AI-Enabled Precision Livestock Technologies for Enhanced Adaptive Grazing Management,"Shadbolt,Anna Margaux",Co-PI,1171,Animal Sciences
K000163826,2025,FALSE,650000.01,AI-Enabled Precision Livestock Technologies for Enhanced Adaptive Grazing Management,"Pasricha,Sudeep",Co-PI,1373,NA
K000163826,2025,FALSE,650000.01,AI-Enabled Precision Livestock Technologies for Enhanced Adaptive Grazing Management,"Raynor,Edward James",Co-PI,1171,Animal Sciences
K000163646,2025,TRUE,126635.5,Farm and Food Rural Analytics for Market Empowerment Updates and Analysis,"Christensen,Elizabeth O'Sullivan",Co-PI,4040,NA
K000163058,2025,TRUE,254980.9,Colorado Center for Sustainable Pest Management: Facilitating IPM Adoption in Urban and Agricultural Systems,"Szczepaniec,Adrianna",Primary PI,1177,Agricultural Biology
K000163058,2025,TRUE,254980.9,Colorado Center for Sustainable Pest Management: Facilitating IPM Adoption in Urban and Agricultural Systems,"Eubanks,Micky",Co-PI,1177,Agricultural Biology
K000163058,2025,TRUE,254980.9,Colorado Center for Sustainable Pest Management: Facilitating IPM Adoption in Urban and Agricultural Systems,"Roberts,Robyn",Co-PI,1177,Agricultural Biology
K000163058,2025,TRUE,254980.9,Colorado Center for Sustainable Pest Management: Facilitating IPM Adoption in Urban and Agricultural Systems,"Nachappa,Punya",Co-PI,1177,Agricultural Biology
K000163058,2025,TRUE,254980.9,Colorado Center for Sustainable Pest Management: Facilitating IPM Adoption in Urban and Agricultural Systems,"Stewart,Jane E",Co-PI,1177,Agricultural Biology
K000163058,2025,TRUE,254980.9,Colorado Center for Sustainable Pest Management: Facilitating IPM Adoption in Urban and Agricultural Systems,"Gaines,Todd A",Co-PI,1177,Agricultural Biology
K000162541,2025,FALSE,942679.68,Combining State-of-the-art Machine Learning and Satellite Observations to Estimate Methane Emissions from Concentrated Animal Feeding Operations,"Pallickara,Shrideep",Co-PI,1873,NA
K000162541,2025,FALSE,942679.68,Combining State-of-the-art Machine Learning and Satellite Observations to Estimate Methane Emissions from Concentrated Animal Feeding Operations,"Pallickara,Sangmi Lee",Co-PI,1873,NA
K000162541,2025,FALSE,942679.68,Combining State-of-the-art Machine Learning and Satellite Observations to Estimate Methane Emissions from Concentrated Animal Feeding Operations,"Wu,Dien",Co-PI,1371,NA
K000162541,2025,FALSE,942679.68,Combining State-of-the-art Machine Learning and Satellite Observations to Estimate Methane Emissions from Concentrated Animal Feeding Operations,"Fischer,Emily V",Co-PI,1371,NA
K000160360,2024,FALSE,649909.69,Providing underserved producers with opportunities to access higher-profit value-added food markets,"Hill,Rebecca Lynn",Primary PI,4044,NA
K000160179,2024,FALSE,1113572.82,Leveraging satellites and machine learning to classify global wildfire smoke presence and exposure,"Guan,Yawen",Co-PI,1877,NA
K000160179,2024,FALSE,1113572.82,Leveraging satellites and machine learning to classify global wildfire smoke presence and exposure,"Pierce,Jeffrey Robert",Co-PI,1371,NA
K000159200,2024,FALSE,9687482.68,How do Beef Producers Benefit from Methane Reduction Markets?,"Raynor,Edward James",Co-PI,1171,Animal Sciences
K000159200,2024,FALSE,9687482.68,How do Beef Producers Benefit from Methane Reduction Markets?,"Carr Childers,Leisl",Co-PI,1776,NA
K000159200,2024,FALSE,9687482.68,How do Beef Producers Benefit from Methane Reduction Markets?,"Vargas Martinez,Juan de Jesus",Co-PI,1171,Animal Sciences
K000159200,2024,FALSE,9687482.68,How do Beef Producers Benefit from Methane Reduction Markets?,"Overlin,Anne",Co-PI,4015,NA
K000159200,2024,FALSE,9687482.68,How do Beef Producers Benefit from Methane Reduction Markets?,"Thoma,Gregory",Co-PI,3001,NA
K000159245,2024,FALSE,1045396.84,Leveraging Satellites and Machine Learning to Classify Global Wildfire Smoke Presence and Exposure,"Guan,Yawen",Co-PI,1877,NA
K000159245,2024,FALSE,1045396.84,Leveraging Satellites and Machine Learning to Classify Global Wildfire Smoke Presence and Exposure,"Pierce,Jeffrey Robert",Co-PI,1371,NA
K000158950,2024,TRUE,73859.15,Assessing the Technical and Economic Potential of Irrigation Curtailment Practices to Jointly-Sustain Livestock Production and Water Conservation in the Upper Colorado River Basin,"Chavez,Jose L",Co-PI,1372,NA
K000158950,2024,TRUE,73859.15,Assessing the Technical and Economic Potential of Irrigation Curtailment Practices to Jointly-Sustain Livestock Production and Water Conservation in the Upper Colorado River Basin,"Cabot,Perry Edmund",Co-PI,1033,NA
K000158608,2024,TRUE,149997.02,Colorado GROW Youth Institute: Expanding Access to Food Security Education,"McQuade,Amanda Ford",Co-PI,3046,NA
K000158247,2024,FALSE,74924.62,"Explaining the Effect of SNAP on the Nutritional Quality of Food Purchases: Race, Segregation, and Advertising Exposure","Brock,Clare-Lieb",Co-PI,1782,NA
K000158247,2024,FALSE,74924.62,"Explaining the Effect of SNAP on the Nutritional Quality of Food Purchases: Race, Segregation, and Advertising Exposure","Mueller,Megan Paige",Co-PI,1571,NA
K000157554,2023,TRUE,58697.21,When is Agrivoltaics Profitable Compared to Agriculture and Solarvoltaics? A Joint-Product Economic Feasibility Analysis,"Uchanski,Mark E",Co-PI,1173,Horticulture + Landscape Architecture
K000155589,2023,TRUE,449169.62,Assessing the Technical and Economic Potential of Irrigation Curtailment Practices to Jointly-Sustain Livestock Production and Water Conservation in the Upper Colorado River Basin,"Chavez,Jose L",Co-PI,1372,NA
K000155589,2023,TRUE,449169.62,Assessing the Technical and Economic Potential of Irrigation Curtailment Practices to Jointly-Sustain Livestock Production and Water Conservation in the Upper Colorado River Basin,"Cabot,Perry Edmund",Co-PI,1033,NA
K000156392,2023,FALSE,88099.2,Assessing the Ability of Virtual Fence to Provide Ecosystem Services,"Shadbolt,Anna Margaux",Key Person,1171,Animal Sciences
K000156392,2023,FALSE,88099.2,Assessing the Ability of Virtual Fence to Provide Ecosystem Services,"Carvalho,Pedro Henrique",Key Person,1171,Animal Sciences
K000156392,2023,FALSE,88099.2,Assessing the Ability of Virtual Fence to Provide Ecosystem Services,"Stackhouse-Lawson,Kimberly Rose",Key Person,1171,Animal Sciences
K000156391,2023,TRUE,96601.12,Analysis of Trade-Offs of Ecosystem Services,"Stackhouse-Lawson,Kimberly Rose",Key Person,1171,Animal Sciences
K000155731,2023,TRUE,24733.5,2023 Colorado Food Summit: Youth Track,"Christensen,Elizabeth O'Sullivan",Co-PI,4044,NA
K000155384,2023,FALSE,149998.57,GROW Institute: Training Educators and Students to Address Global Food Security Challenges,"Bradeen,James Mathew",Co-PI,0100,NA
K000155384,2023,FALSE,149998.57,GROW Institute: Training Educators and Students to Address Global Food Security Challenges,"Conway,Kerri Wright Platais",Key Person,0001,NA
K000154231,2023,TRUE,49999996.39,Northwest Mountain Food Business Center,"Sullins,Martha J",Co-PI,4010,NA
K000154551,2022,FALSE,148381.58,"Integrated Cattle-Corn Production Systems: Assessing Current Practices, Barriers to Adoption, Nutrient Cycling, and Water Use of Corn Stover Grazing by Cattle in the High Plains Region","Raynor,Edward James",Key Person,1171,Animal Sciences
K000154551,2022,FALSE,148381.58,"Integrated Cattle-Corn Production Systems: Assessing Current Practices, Barriers to Adoption, Nutrient Cycling, and Water Use of Corn Stover Grazing by Cattle in the High Plains Region","Stackhouse-Lawson,Kimberly Rose",Key Person,1171,Animal Sciences
K000154551,2022,FALSE,148381.58,"Integrated Cattle-Corn Production Systems: Assessing Current Practices, Barriers to Adoption, Nutrient Cycling, and Water Use of Corn Stover Grazing by Cattle in the High Plains Region","Place,Sara",Key Person,1171,Animal Sciences
K000154551,2022,FALSE,148381.58,"Integrated Cattle-Corn Production Systems: Assessing Current Practices, Barriers to Adoption, Nutrient Cycling, and Water Use of Corn Stover Grazing by Cattle in the High Plains Region","Thoma,Gregory",Key Person,3001,NA
K000152488,2022,TRUE,954544.57,Integrating Community and Modeling Efforts to Evaluate the Impacts and Tradeoffs of Food System Interventions,"Boone,Randall B",Co-PI,1476,NA
K000154310,2022,TRUE,99974.34,Peach and Orchard Disease Risk Managment Tool,"Stewart,Jane E",Co-PI,1177,Agricultural Biology
K000153886,2022,TRUE,1032843.68,Innovative Technologies to Reduce Beef Industry GHG Emissions,"Hess,Ann Marie",Co-PI,1877,NA
K000153886,2022,TRUE,1032843.68,Innovative Technologies to Reduce Beef Industry GHG Emissions,"Place,Sara",Co-PI,1171,Animal Sciences
K000153886,2022,TRUE,1032843.68,Innovative Technologies to Reduce Beef Industry GHG Emissions,"Enns,Richard Mark",Co-PI,1171,Animal Sciences
K000153886,2022,TRUE,1032843.68,Innovative Technologies to Reduce Beef Industry GHG Emissions,"Stackhouse-Lawson,Kimberly Rose",Co-PI,1171,Animal Sciences
K000153252,2022,FALSE,749940.79,Expanding A Successful Extension Internship Program To Support Workforce Development Among Underrepresented/Economically Disadvantaged Students,"Carolan,Michael S",Co-PI,1784,NA
K000153252,2022,FALSE,749940.79,Expanding A Successful Extension Internship Program To Support Workforce Development Among Underrepresented/Economically Disadvantaged Students,"Ishiwata,Eric",Co-PI,1790,NA
K000153133,2022,FALSE,1372020.91,"Understanding the Social, Economic, and Regulatory Barriers to Large Scale Adoption of Agrivoltaics","Carolan,Michael S",Co-PI,1784,NA
K000153133,2022,FALSE,1372020.91,"Understanding the Social, Economic, and Regulatory Barriers to Large Scale Adoption of Agrivoltaics","Hale,James W",Co-PI,1784,NA
K000153249,2022,TRUE,99993.13,Achieving Racial Equity in Diet Quality and Diet-Related Disease,"Mueller,Megan Paige",Co-PI,1571,NA
K000152425,2022,FALSE,3499990.16,Establishing Technical Assistance and Outreach Networks in Colorado to Support Underserved Farmers and Ranchers,"Ritchie,Michele L",Co-PI,4020,NA
