key_id,year,lead_unit_code,lead_unit_name,funded,funding_status_group,amount,project_title,dare_faculty,dare_faculty_roles,dare_faculty_count,originating_sponsor,originating_sponsor_type,direct_sponsor,direct_sponsor_type
K000148348,2021,1177,Agricultural Biology,FALSE,Not funded or in progress,1176727.01,Integrated Education: Northeast Colorado Community Recovery to Resiliency in Rural Agriculture and Food Systems,"Clark, Nathan; Countryman, Amanda","Clark, Nathan [Co-PI]; Countryman, Amanda [Co-PI]",2,State of Colorado-Governor's Office,State of Colorado,State of Colorado-Governor's Office,State of Colorado
K000148878,2021,1177,Agricultural Biology,FALSE,Not funded or in progress,2920128.34,MIM: Microbial Game of Thrones: Mechanisms Governing the Colonization and Vanquishment of Aliens in Plant Environments,"Suter, Jordan","Suter, Jordan [Co-PI]",1,NSF-National Science Foundation,Federal,NSF-National Science Foundation,Federal
K000149750,2021,1177,Agricultural Biology,FALSE,Not funded or in progress,997987.28,Integrating Novel Maize Root Genetics with High Throughput Soil Analyses to Bring Carbon Farming to Scale,"Graff, Gregory; Mooney, Daniel","Graff, Gregory [Co-PI]; Mooney, Daniel [Co-PI]",2,Foundation for Food & Agriculture Research,Domestic Non-Profit (other than Domestic Foundations),Foundation for Food & Agriculture Research,Domestic Non-Profit (other than Domestic Foundations)
K000150300,2021,1177,Agricultural Biology,FALSE,Not funded or in progress,847334.5,Microbial Game of Thrones: Mechanisms Governing the Colonization and Vanquishment of Aliens in Plant Environments,"Suter, Jordan","Suter, Jordan [Co-PI]",1,USDA-NIFA-National Institute of Food and Agriculture,Federal,USDA-NIFA-National Institute of Food and Agriculture,Federal
K000164365,2025,1177,Agricultural Biology,FALSE,Not funded or in progress,749993.17,"Optimizing Habitat Design, Variety Selection, and Cultural Controls to Reduce Disease and Increase Producer Profits","Mooney, Daniel","Mooney, Daniel [Co-PI]",1,USDA-NIFA-National Institute of Food and Agriculture,Federal,USDA-NIFA-National Institute of Food and Agriculture,Federal
K000165261,2026,1177,Agricultural Biology,FALSE,Not funded or in progress,349999.76,Annual Living Mulches for Sustainable Weed Suppression and Soil Conservation in Western Colorado Vegetable Systems,"Mooney, Daniel","Mooney, Daniel [Co-PI]",1,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education
K000166679,2026,1177,Agricultural Biology,FALSE,Not funded or in progress,299999.75,Optimizing Chile Pepper Production Near Alfalfa: Integrated Strategies to Reduce Crop Losses and Increase Profitability,"Mooney, Daniel","Mooney, Daniel [Co-PI]",1,USDA-NIFA-National Institute of Food and Agriculture,Federal,USDA-NIFA-National Institute of Food and Agriculture,Federal
K000149350,2021,1171,Animal Sciences,TRUE,Funded,90000.99,Hayden School District RISE Fund,"Enns, Kellie","Enns, Kellie [Co-PI]",1,State of Colorado-Governor's Office,State of Colorado,Hayden School District,State of Colorado Other Local Government
K000150469,2021,1171,Animal Sciences,TRUE,Funded,349990.64,The Linked Education: Providing a Continuum of Experiences in Agricultural Industries and the Food System,"Enns, Kellie","Enns, Kellie [Co-PI]",1,Zoma Foundation,Domestic Foundations,Zoma Foundation,Domestic Foundations
K000155312,2023,1171,Animal Sciences,FALSE,Not funded or in progress,49999.83,Integrated Cattle-Corn Production Systems: Assessing the Utility of Virtual Fence Technology for the Implementation of Corn Stover Grazing by Cattle,"Ritten, John","Ritten, John [Co-PI]",1,Colorado Corn Administrative Committee,Domestic Non-Profit (other than Domestic Foundations),Colorado Corn Administrative Committee,Domestic Non-Profit (other than Domestic Foundations)
