publication_key,oa_id,doi_clean,au_key,au_id,au_display_name,au_name_norm,au_orcid,author_position,is_corresponding,institution,ror,country_code,institution_type,raw_affiliation
doi:10.1126/science.abe4943,W3210493173,10.1126/science.abe4943,A5037522689,A5037522689,Justin Farrell,justin farrell,0000-0002-5636-7149,first,TRUE,Yale University,https://ror.org/03v76x132,US,education,"School of the Environment, Yale University, New Haven, CT 06511, USA"
doi:10.1126/science.abe4943,W3210493173,10.1126/science.abe4943,A5020969746,A5020969746,Paul Berne Burow,paul berne burow,0000-0001-9895-8062,middle,TRUE,Yale University,https://ror.org/03v76x132,US,education,"Department of Anthropology, Yale University, New Haven, CT 06511, USA; School of the Environment, Yale University, New Haven, CT 06511, USA"
doi:10.1126/science.abe4943,W3210493173,10.1126/science.abe4943,A5038338657,A5038338657,Kathryn McConnell,kathryn mcconnell,0000-0003-4395-5483,middle,TRUE,Yale University,https://ror.org/03v76x132,US,education,"School of the Environment, Yale University, New Haven, CT 06511, USA"
doi:10.1126/science.abe4943,W3210493173,10.1126/science.abe4943,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Agriculture and Resource Economics, Colorado State University, Fort Collins, CO 80523, USA"
doi:10.1126/science.abe4943,W3210493173,10.1126/science.abe4943,A5055139940,A5055139940,Kyle Powys Whyte,kyle powys whyte,0000-0003-2689-691X,middle,FALSE,University of Michigan,https://ror.org/00jmfr291,US,education,"School for Environment and Sustainability, University of Michigan, Ann Arbor, MI 48109, USA"
doi:10.1126/science.abe4943,W3210493173,10.1126/science.abe4943,A5057605699,A5057605699,Gal Koss,gal koss,0000-0003-0609-7715,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Agriculture and Resource Economics, Colorado State University, Fort Collins, CO 80523, USA"
doi:10.1073/pnas.2008814118,W3141737218,10.1073/pnas.2008814118,A5002361304,A5002361304,Youpei Yan,youpei yan,0000-0002-1892-4936,first,FALSE,Yale University,https://ror.org/03v76x132,US,education,"School of the Environment, Yale University, New Haven, CT 06511;"
doi:10.1073/pnas.2008814118,W3141737218,10.1073/pnas.2008814118,A5026801231,A5026801231,Amyn A. Malik,amyn a malik,0000-0003-4875-9916,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Department of Internal Medicine, Yale School of Medicine, New Haven, CT 06510;; Yale Institute for Global Health, New Haven, CT 06510;"
doi:10.1073/pnas.2008814118,W3141737218,10.1073/pnas.2008814118,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO 80523;"
doi:10.1073/pnas.2008814118,W3141737218,10.1073/pnas.2008814118,A5052038898,A5052038898,Eli P. Fenichel,eli p fenichel,0000-0002-7649-8250,middle,TRUE,Yale University,https://ror.org/03v76x132,US,education,"School of the Environment, Yale University, New Haven, CT 06511;"
doi:10.1073/pnas.2008814118,W3141737218,10.1073/pnas.2008814118,A5061122280,A5061122280,Chandra Couzens,chandra couzens,0000-0003-1057-0392,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT 06510;"
