last,year,active,faculty_type,faculty_rank,is_tt,pct_research,n_outputs,total_citations,mean_if,research_fte,output_per_fte
Bayham,2021,1,Tenured/Tenure Track,Associate Professor,TRUE,50,8,510,19.74,0.5,16
Bayham,2022,1,Tenured/Tenure Track,Associate Professor,TRUE,50,6,169,4.53,0.5,12
Bayham,2023,1,Tenured/Tenure Track,Associate Professor,TRUE,50,4,34,2.47,0.5,8
Bayham,2024,1,Tenured/Tenure Track,Associate Professor,TRUE,50,2,25,3.55,0.5,4
Bayham,2025,1,Tenured/Tenure Track,Associate Professor,TRUE,50,2,2,4.5,0.5,4
Bayham,2026,1,Tenured/Tenure Track,Associate Professor,TRUE,50,2,1,3.4,0.5,4
Bennett,2025,1,Tenured/Tenure Track,Assistant Professor,TRUE,25,2,0,NA,0.25,8
Bennett,2026,1,Tenured/Tenure Track,Assistant Professor,TRUE,25,1,0,NA,0.25,4
Berning,2021,1,Tenured/Tenure Track,Professor,TRUE,50,1,3,1.87,0.5,2
Berning,2022,1,Tenured/Tenure Track,Professor,TRUE,50,0,0,NA,0.5,0
Berning,2023,1,Tenured/Tenure Track,Professor,TRUE,50,3,33,4.6,0.5,6
Berning,2024,1,Tenured/Tenure Track,Professor,TRUE,50,1,12,3.4,0.5,2
Berning,2025,1,Tenured/Tenure Track,Professor,TRUE,50,1,1,3.6,0.5,2
Berning,2026,1,Tenured/Tenure Track,Professor,TRUE,50,1,0,4.9,0.5,2
Bonanno,2021,1,Tenured/Tenure Track,Professor,TRUE,50,6,49,4.46,0.5,12
Bonanno,2022,1,Tenured/Tenure Track,Professor,TRUE,50,0,0,NA,0.5,0
Bonanno,2023,1,Tenured/Tenure Track,Professor,TRUE,50,5,14,2.82,0.5,10
Bonanno,2024,1,Tenured/Tenure Track,Professor,TRUE,50,2,13,2.6,0.5,4
Bonanno,2025,1,Tenured/Tenure Track,Professor,TRUE,50,0,0,NA,0.5,0
Bonanno,2026,1,Tenured/Tenure Track,Professor,TRUE,50,1,0,4.9,0.5,2
Burkhardt,2021,1,Tenured/Tenure Track,Associate Professor,TRUE,50,2,50,5.81,0.5,4
Burkhardt,2022,1,Tenured/Tenure Track,Associate Professor,TRUE,50,6,89,4.59,0.5,12
Burkhardt,2023,1,Tenured/Tenure Track,Associate Professor,TRUE,50,4,35,5.05,0.5,8
Burkhardt,2024,1,Tenured/Tenure Track,Associate Professor,TRUE,50,2,27,6.7,0.5,4
Burkhardt,2025,1,Tenured/Tenure Track,Associate Professor,TRUE,50,3,20,9.4,0.5,6
Burkhardt,2026,1,Tenured/Tenure Track,Associate Professor,TRUE,50,1,0,12.5,0.5,2
Chenarides,2023,1,Tenured/Tenure Track,Assistant Professor,TRUE,50,2,22,2.15,0.5,4
Chenarides,2024,1,Tenured/Tenure Track,Assistant Professor,TRUE,50,5,3,2.15,0.5,10
Chenarides,2025,1,Tenured/Tenure Track,Assistant Professor,TRUE,50,5,6,4.28,0.5,10
Chenarides,2026,1,Tenured/Tenure Track,Assistant Professor,TRUE,50,1,0,NA,0.5,2
Chouinard,2021,1,Tenured/Tenure Track,NA,TRUE,5,0,0,NA,0.05,0
Chouinard,2022,1,Tenured/Tenure Track,NA,TRUE,5,0,0,NA,0.05,0
Chouinard,2023,1,Tenured/Tenure Track,NA,TRUE,5,0,0,NA,0.05,0
Chouinard,2024,1,Tenured/Tenure Track,NA,TRUE,5,0,0,NA,0.05,0
Chouinard,2025,1,Tenured/Tenure Track,NA,TRUE,5,0,0,NA,0.05,0
Chouinard,2026,1,Tenured/Tenure Track,NA,TRUE,5,1,1,2.3,0.05,20
Clark,2021,1,Continuing,Master Instructor,FALSE,0,0,0,NA,0,NA
Clark,2022,1,Continuing,Master Instructor,FALSE,0,0,0,NA,0,NA
Clark,2023,1,Continuing,Master Instructor,FALSE,0,0,0,NA,0,NA
Clark,2024,1,Continuing,Master Instructor,FALSE,0,0,0,NA,0,NA
Clark,2025,1,Continuing,Master Instructor,FALSE,0,1,0,NA,0,NA
Clark,2026,1,Continuing,Master Instructor,FALSE,0,1,0,NA,0,NA
Cleary,2021,1,Tenured/Tenure Track,Associate Professor,TRUE,50,3,64,4.23,0.5,6
Cleary,2022,1,Tenured/Tenure Track,Associate Professor,TRUE,50,3,38,5.95,0.5,6
Cleary,2023,1,Tenured/Tenure Track,Associate Professor,TRUE,50,3,19,4.27,0.5,6
Cleary,2024,1,Tenured/Tenure Track,Associate Professor,TRUE,50,3,14,2.33,0.5,6
Cleary,2025,1,Tenured/Tenure Track,Associate Professor,TRUE,50,0,0,NA,0.5,0
Cleary,2026,1,Tenured/Tenure Track,Associate Professor,TRUE,50,0,0,NA,0.5,0
Costanigro,2021,1,Tenured/Tenure Track,Professor,TRUE,50,4,32,2.48,0.5,8
Costanigro,2022,1,Tenured/Tenure Track,Professor,TRUE,50,1,19,5.4,0.5,2
Costanigro,2023,1,Tenured/Tenure Track,Professor,TRUE,50,1,14,4.2,0.5,2
Costanigro,2024,1,Tenured/Tenure Track,Professor,TRUE,50,0,0,NA,0.5,0
Costanigro,2025,1,Tenured/Tenure Track,Professor,TRUE,50,2,9,5.2,0.5,4
Costanigro,2026,1,Tenured/Tenure Track,Professor,TRUE,50,1,1,2.3,0.5,2
Countryman,2021,1,Tenured/Tenure Track,Professor,TRUE,50,4,242,2.93,0.5,8
Countryman,2022,1,Tenured/Tenure Track,Professor,TRUE,50,2,17,5.5,0.5,4
Countryman,2023,1,Tenured/Tenure Track,Professor,TRUE,50,1,10,1.8,0.5,2
Countryman,2024,1,Tenured/Tenure Track,Professor,TRUE,50,6,62,3.38,0.5,12
Countryman,2025,1,Tenured/Tenure Track,Professor,TRUE,50,6,25,4.68,0.5,12
Countryman,2026,1,Tenured/Tenure Track,Professor,TRUE,50,2,0,3.6,0.5,4
Delay,2021,1,Tenured/Tenure Track,Assistant Professor,TRUE,40,4,52,6.98,0.4,10
Delay,2022,1,Tenured/Tenure Track,Assistant Professor,TRUE,40,3,11,4.6,0.4,7.5
Delay,2023,1,Tenured/Tenure Track,Assistant Professor,TRUE,40,2,11,2.65,0.4,5
Delay,2024,1,Tenured/Tenure Track,Assistant Professor,TRUE,40,2,1,1.6,0.4,5
Delay,2025,1,Tenured/Tenure Track,Assistant Professor,TRUE,40,5,18,3.02,0.4,12.5
Delay,2026,1,Tenured/Tenure Track,Assistant Professor,TRUE,40,2,1,5.85,0.4,5
Enns,2021,1,Tenured/Tenure Track,Professor,TRUE,0,0,0,NA,0,NA
Enns,2022,1,Tenured/Tenure Track,Professor,TRUE,0,1,0,NA,0,NA
Enns,2023,1,Tenured/Tenure Track,Professor,TRUE,0,1,2,NA,0,NA
Enns,2024,1,Tenured/Tenure Track,Professor,TRUE,0,0,0,NA,0,NA
Enns,2025,1,Tenured/Tenure Track,Professor,TRUE,0,4,2,2.83,0,NA
Enns,2026,1,Tenured/Tenure Track,Professor,TRUE,0,1,0,NA,0,NA
Frasier,2021,1,Tenured/Tenure Track,NA,TRUE,NA,1,10,2.46,NA,NA
Goemans,2021,1,Tenured/Tenure Track,Professor,TRUE,50,5,62,3.57,0.5,10
Goemans,2022,1,Tenured/Tenure Track,Professor,TRUE,50,2,34,5.45,0.5,4
Goemans,2023,1,Tenured/Tenure Track,Professor,TRUE,50,3,68,5.97,0.5,6
Goemans,2024,1,Tenured/Tenure Track,Professor,TRUE,50,2,13,3.9,0.5,4
Goemans,2025,1,Tenured/Tenure Track,Professor,TRUE,50,3,3,5.57,0.5,6
Goemans,2026,1,Tenured/Tenure Track,Professor,TRUE,50,0,0,NA,0.5,0
Graff,2021,1,Tenured/Tenure Track,Professor,TRUE,35,0,0,NA,0.35,0
Graff,2022,1,Tenured/Tenure Track,Professor,TRUE,35,0,0,NA,0.35,0
Graff,2023,1,Tenured/Tenure Track,Professor,TRUE,35,0,0,NA,0.35,0
Graff,2024,1,Tenured/Tenure Track,Professor,TRUE,35,0,0,NA,0.35,0
Graff,2025,1,Tenured/Tenure Track,Professor,TRUE,35,0,0,NA,0.35,0
Graff,2026,1,Tenured/Tenure Track,Professor,TRUE,35,1,0,4.9,0.35,2.857142857142857
Hill,2021,1,Tenured/Tenure Track,NA,TRUE,50,3,46,5.41,0.5,6
Hill,2022,1,Tenured/Tenure Track,NA,TRUE,50,1,8,0.9,0.5,2
Hoag,2021,1,Tenured/Tenure Track,Professor,TRUE,35,1,2,3.89,0.35,2.857142857142857
Hoag,2022,1,Tenured/Tenure Track,Professor,TRUE,35,3,53,2.2,0.35,8.571428571428571
Hoag,2023,1,Tenured/Tenure Track,Professor,TRUE,35,1,6,3.4,0.35,2.857142857142857
