publication_key,year,title_short,venue,doi,openalex_citations,google_scholar_citations,google_scholar_retrieved_date,google_scholar_source_url,google_scholar_match_notes
doi:10.1146/annurev-resource-101620-080426,2021,Agricultural Labor Supply,Annual Review of Resource Economics,10.1146/annurev-resource-101620-080426,34,,,,
doi:10.2305/iucn.ch.2021.parks-27-sitc.en,2021,Building sustainable financing for resilient protected and conserved areas,PARKS,10.2305/iucn.ch.2021.parks-27-sitc.en,35,,,,
doi:10.22004/ag.econ.311308,2021,COVID-19 and Farm Workers,Western Economics Forum,10.22004/ag.econ.311308,0,,,,
doi:10.22004/ag.econ.311309,2021,COVID-19 and the renewed migration to the rural west,Western Economics Forum,10.22004/ag.econ.311309,10,,,,
doi:10.1007/s10584-022-03441-9,2021,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,2,,,,
doi:10.1080/00036846.2020.1866160,2021,Competitive and Welfare Effects of Private Label Presence in Differentiated Food Markets,Applied Economics,10.1080/00036846.2020.1866160,11,,,,
doi:10.1017/jwe.2021.8,2021,Consumer Stigma and the Reputation Trap Hypothesis,Journal of Wine Economics,10.1017/jwe.2021.8,2,,,,
doi:10.1002/aepp.13047,2021,Do Cottage Food Laws Reduce Barriers to Entry for Food Manufacturers,Applied Economic Perspectives and Policy,10.1002/aepp.13047,10,,,,
doi:10.1007/s10584-021-03009-z,2021,Does Solar Geoengineering Crowd Out Climate Change Mitigation Efforts,Climatic Change,10.1007/s10584-021-03009-z,30,,,,
doi:10.1002/wat2.1571,2021,Dry landscapes and parched economies: drought impacts on nonagricultural sectors,WIREs Water,10.1002/wat2.1571,38,,,,
doi:10.1126/science.abe4943,2021,Effects of land dispossession and forced migration on Indigenous peoples,Science,10.1126/science.abe4943,204,,,,
doi:10.1002/aepp.13096,2021,Emergency Food Provision for Children and Families during the Covid-19 Pandemic,Applied Economic Perspectives and Policy,10.1002/aepp.13096,60,,,,
doi:10.1017/s1742170519000371,2021,Enhancing Understanding of Food Purchasing Patterns in the Northeast,Renewable Agriculture and Food Systems,10.1017/s1742170519000371,3,,,,
doi:10.3201/eid2709.204167,2021,Estimating the Impact of Statewide Policies to Reduce Spread of SARS-CoV-2,Emerging Infectious Diseases,10.3201/eid2709.204167,17,,,,
doi:10.1093/jas/skaa405,2021,Evaluation of Biological and Economic Efficiency of the All Heifer No Cow Beef Production System,Journal of Animal Science,10.1093/jas/skaa405,6,,,,
titleyear:farm data collection and software adoption in commercial sca|2021,2021,Farm Data Collection and Software Adoption in Commercial Scale US Corn-Soybean Farms,Western Economics Forum,,,,,,
doi:10.1016/j.ecoser.2021.101351,2021,Finance for Nature: Bridging the blue-green investment gap,Ecosystem Services,10.1016/j.ecoser.2021.101351,6,,,,
doi:10.21273/hortsci15871-21,2021,GMO Turfgrass Introduction to the Market,HortScience,10.21273/hortsci15871-21,3,,,,
doi:10.1016/j.reseneeco.2019.101143,2021,Groundwater Depletion Climate and the Incremental Value of Groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2019.101143,32,,,,
doi:10.1002/aepp.13098,2021,If You Build It Will it Matter? Food Stores Presence and Perceived Barriers,Applied Economic Perspectives and Policy,10.1002/aepp.13098,6,,,,
titleyear:impacts of the covid 19 pandemic on agriculture and natural |2021,2021,Impacts of the COVID-19 pandemic on agriculture and natural resources in the western US,Western Economics Forum,,,,,,
doi:10.1093/qopen/qoab006,2021,Inequality Hinders Group Efforts to Avoid Environmental Disasters,Q Open,10.1093/qopen/qoab006,3,,,,
doi:10.1109/ojcs.2021.3085846,2021,LATTICE: Machine Learning Data Engineering and Policy for Digital Agriculture,IEEE Open Journal of the Computer Society,10.1109/ojcs.2021.3085846,33,,,,
doi:10.1007/s10683-020-09650-2,2021,Learning to Accept Welfare-Enhancing Policies: Congestion Pricing,Experimental Economics,10.1007/s10683-020-09650-2,24,,,,
doi:10.1002/aepp.13059,2021,Local Food Markets and Labor Intensity,Applied Economic Perspectives and Policy,10.1002/aepp.13059,22,,,,
doi:10.1002/aepp.13046,2021,Local Foods go Downstream: Exploring the Spatial Factors Driving US Food Manufacturing,Applied Economic Perspectives and Policy,10.1002/aepp.13046,20,,,,
doi:10.1177/0272989x211021603,2021,Maximizing the Efficiency of Active Case Finding for SARS-CoV-2 Using Bandit Algorithms,Medical Decision Making,10.1177/0272989x211021603,9,,,,
doi:10.1016/j.foodpol.2021.102119,2021,Measuring stocks of community wealth and its association with food systems efforts,Food Policy,10.1016/j.foodpol.2021.102119,13,,,,
doi:10.1073/pnas.2008814118,2021,Measuring voluntary and policy-induced social distancing behavior during COVID-19,Proceedings of the National Academy of Sciences,10.1073/pnas.2008814118,167,,,,
doi:10.1111/1467-8489.12456,2021,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,10.1111/1467-8489.12456,20,,,,
doi:10.1111/ajae.12192,2021,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,12,,,,
doi:10.1086/714148,2021,Policy Leakage or Policy Benefit? Spatial Spillovers from Conservation Policies,Journal of the Association of Environmental and Resource Economists,10.1086/714148,4,,,,
