investigator_name,investigator_person_key,investigator_role,investigator_unit_code
"Bauman,Allison Gunter",bauman|a,Primary PI,1172
"Bauman,Allison Gunter",bauman|a,Co-PI,1172
"Baxter,Aryn",baxter|a,Primary PI,1172
"Brislen,Lilian",brislen|l,Co-PI,1172
"Brislen,Lilian",brislen|l,Primary PI,1172
"Brislen,Lilian",brislen|l,Key Person,1172
"Buzzelli,Maria",buzzelli|m,Key Person,1172
"Dalsted,Norman L",dalsted|n,Primary PI,1172
"Eshelman,Katharine Siobhan",eshelman|k,Co-PI,1172
"Fitzgerald,Brooke Anne",fitzgerald|b,Co-PI,1172
"Haefele,Michelle A",haefele|m,Primary PI,1172
"Hill,Rebecca Lynn",hill|r,Primary PI,1172
"Hill,Rebecca Lynn",hill|r,Co-PI,1172
"Ikeme,Sionegael",ikeme|s,Co-PI,1172
"Kolodinsky,Jane",kolodinsky|j,Primary PI,1172
"Wasserman-Olin,Rebecca Danielle",wasserman olin|r,Co-PI,1172
