key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry
K000165669,2026,1173,Horticulture + Landscape Architecture,FALSE,"Chikh-Ali,Moham"
K000163523,2025,1171,Animal Sciences,FALSE,"Vargas Martinez,Juan de Jesus de Jesus ("
K000163036,2025,1171,Animal Sciences,FALSE,"DeLay,Nathan D (Key Person)"
K000160793,2024,1171,Animal Sciences,FALSE,"Raynor,Edward James (Co-PI)"
K000159200,2024,1172,Agricultural + Resource Economics,TRUE,"Place,Sara (Co"
K000158374,2024,1171,Animal Sciences,FALSE,"Delmore,Ro"
K000156068,2023,1171,Animal Sciences,FALSE,"Stackhouse-Lawson,Kimberly Rose (Co"
K000156222,2023,1171,Animal Sciences,FALSE,Ge
K000153284,2022,1170,Soil + Crop Sciences,FALSE,"Paustian,Keith H (Co-PI)"
K000152224,2022,1171,Animal Sciences,FALSE,Thompson
K000150939,2021,1171,Animal Sciences,FALSE,"Robertson,Christopher Coo"
K000151043,2021,1172,Agricultural + Resource Economics,TRUE,
K000148125,2021,1173,Horticulture + Landscape Architecture,FALSE,Crave
K000149122,2021,1171,Animal Sciences,FALSE,</br
K000149016,2021,1171,Animal Sciences,FALSE,"Lavallee,Jocelyn"
K000148958,2021,1170,Soil + Crop Sciences,FALSE,P
K000148946,2021,1171,Animal Sciences,FALSE,Thilma
K000148617,2021,1177,Agricultural Biology,FALSE,"Sample McMeeking,Laura"
K000148348,2021,1177,Agricultural Biology,FALSE,
