direct_sponsor,year,proposals,awards,award_dollars,dare_proposals,dare_awards,dare_award_dollars,originating_sponsors
American University,2024,1,1,30973.34,0,0,0,1
Arizona State University,2021,1,0,0,1,0,0,1
Arizona State University,2023,2,2,40720.31,2,2,40720.31,1
Auburn University,2025,1,0,0,1,0,0,1
California Institute of Technology/Jet Propulsion Lab,2023,1,0,0,0,0,0,1
California State University Monterey Bay,2022,1,0,0,0,0,0,1
California State University Monterey Bay,2023,1,1,232963.78,0,0,0,1
Case Western Reserve University,2026,1,0,0,0,0,0,1
Clemson University,2022,1,0,0,0,0,0,1
Colorado School of Mines,2023,1,0,0,0,0,0,1
Colorado School of Mines,2025,1,0,0,0,0,0,1
Colorado School of Public Health Center for Global Health,2021,2,1,127039.86,2,1,127039.86,1
Colorado School of Public Health Center for Global Health,2023,1,0,0,1,0,0,1
Cornell University,2021,1,0,0,0,0,0,1
Cornell University,2022,1,1,37733.41,1,1,37733.41,1
Cornell University,2023,1,1,157768.89,0,0,0,1
Cornell University,2024,2,2,1493539.37,0,0,0,1
Georgia Southern University,2025,1,0,0,0,0,0,1
Iowa State University,2022,2,0,0,0,0,0,1
Iowa State University,2023,1,0,0,0,0,0,1
Iowa State University,2024,1,0,0,0,0,0,1
Iowa State University,2025,2,0,0,0,0,0,1
Kansas State University,2021,6,5,1227228.11,0,0,0,3
Kansas State University,2022,4,3,485381.67,1,1,61375.67,1
Kansas State University,2023,2,2,190036.38,0,0,0,2
Kansas State University,2024,4,2,60498.46,1,0,0,2
Kansas State University,2025,4,1,75000,0,0,0,3
Kansas State University,2026,1,1,4002.9,0,0,0,1
Louisiana State University,2023,1,0,0,1,0,0,1
Louisiana State University,2024,1,0,0,1,0,0,1
Michigan State University,2021,1,0,0,0,0,0,1
Michigan State University,2023,1,1,200696.38,0,0,0,1
Michigan State University,2024,2,0,0,0,0,0,2
Michigan State University,2026,1,0,0,0,0,0,1
Montana State University,2021,2,0,0,0,0,0,1
Montana State University,2022,5,1,349685.79,0,0,0,2
Montana State University,2023,7,4,496692.32,0,0,0,2
Montana State University,2024,8,4,174422.86000000002,0,0,0,1
Montana State University,2025,4,2,184954.43,0,0,0,1
Montana State University,2026,6,0,0,0,0,0,1
New Mexico State University,2021,1,1,187334.13,0,0,0,1
New Mexico State University,2022,1,0,0,0,0,0,1
New York University,2023,1,1,25000.16,1,1,25000.16,1
North Carolina State University,2021,2,1,165000,1,0,0,2
North Carolina State University,2022,1,0,0,0,0,0,1
North Carolina State University,2023,1,1,137501.05,0,0,0,1
North Carolina State University,2024,2,1,164998.35,0,0,0,1
North Carolina State University,2026,1,0,0,0,0,0,1
North Dakota State University,2025,1,0,0,1,0,0,1
Oklahoma State University,2021,2,0,0,0,0,0,1
Oklahoma State University,2022,2,0,0,0,0,0,1
Oregon State University,2021,1,1,9000,0,0,0,1
Oregon State University,2022,1,0,0,0,0,0,1
Oregon State University,2023,2,0,0,0,0,0,2
Oregon State University,2024,2,1,11000.47,0,0,0,1
Oregon State University,2025,3,1,40500,0,0,0,2
Pennsylvania State University,2021,1,0,0,0,0,0,1
Pennsylvania State University,2022,2,0,0,1,0,0,2
Pennsylvania State University,2025,1,0,0,1,0,0,1
Purdue University,2021,1,1,92882.34,1,1,92882.34,1
Sam Houston State University,2026,1,0,0,0,0,0,1
South Dakota State University,2021,2,1,89720.3,0,0,0,1
South Dakota State University,2022,1,1,136429.41,0,0,0,1
South Dakota State University,2023,1,0,0,0,0,0,1
South Dakota State University,2024,1,0,0,0,0,0,1
South Dakota State University,2025,1,0,0,0,0,0,1
Southern Illinois University Edwardsville,2021,1,1,57270.18,0,0,0,1
Texas A and M University,2021,2,0,0,0,0,0,1
Texas A and M University,2022,3,1,61364.38,1,1,61364.38,3
Texas A and M University,2023,4,1,827368.09,1,0,0,2
Texas A and M University,2024,3,1,3638,2,1,3638,2
Texas A and M University,2025,3,2,782558.41,1,1,10650.5,2
Texas A and M University,2026,1,0,0,0,0,0,1
Texas Tech University,2021,1,1,26587,0,0,0,1
Texas Tech University,2022,3,1,106422.49,0,0,0,3
Texas Tech University,2025,1,0,0,0,0,0,1
The Ohio State University,2021,1,1,188673.03,0,0,0,1
The Ohio State University,2022,1,1,60170.9,1,1,60170.9,1
The Ohio State University,2024,3,1,2946168.56,0,0,0,3
The Ohio State University,2025,1,0,0,0,0,0,1
University at Buffalo-The State University of New York,2023,1,0,0,0,0,0,1
University at Buffalo-The State University of New York,2024,1,0,0,0,0,0,1
University of Antwerp,2026,1,0,0,0,0,0,1
University of Arizona,2022,1,0,0,0,0,0,1
University of Arkansas,2022,1,1,26680.91,0,0,0,1
University of Arkansas,2024,1,0,0,0,0,0,1
University of Arkansas for Medical Sciences,2021,1,0,0,0,0,0,1
"University of California, Berkeley",2022,1,1,134995.49,0,0,0,1
"University of California, Berkeley",2025,1,0,0,0,0,0,1
"University of California, Davis",2021,5,3,573334.22,0,0,0,1
"University of California, Davis",2022,3,3,123618.66,0,0,0,1
"University of California, Davis",2023,1,1,240001.04,0,0,0,1
"University of California, Davis",2024,1,0,0,1,0,0,1
"University of California, Davis",2025,2,0,0,0,0,0,2
"University of California, Riverside",2021,3,0,0,0,0,0,2
"University of California, Riverside",2022,1,1,499294.9,0,0,0,1
"University of California, Riverside",2026,2,0,0,0,0,0,2
University of Cincinnati,2021,1,0,0,0,0,0,1
University of Colorado,2022,1,1,899541.97,0,0,0,1
University of Colorado Anschutz Medical Campus,2025,1,0,0,0,0,0,1
University of Colorado at Denver,2021,2,2,32764.480000000003,0,0,0,1
University of Colorado at Denver,2022,2,2,76805.05,1,1,66999.3,2
University of Colorado at Denver,2023,2,1,33750,1,1,33750,2
University of Colorado at Denver,2024,1,1,22072.55,1,1,22072.55,1
University of Connecticut,2023,1,1,215978.37,0,0,0,1
University of Connecticut,2024,2,0,0,0,0,0,1
University of Connecticut,2025,1,0,0,0,0,0,1
University of Delaware,2022,1,1,321994.12,0,0,0,1
University of Florida,2021,1,0,0,0,0,0,1
University of Florida,2025,1,0,0,0,0,0,1
University of Georgia,2021,1,0,0,0,0,0,1
University of Georgia,2023,1,0,0,0,0,0,1
University of Georgia,2024,2,0,0,0,0,0,1
University of Idaho,2022,2,1,57000,1,1,57000,2
University of Idaho,2026,1,0,0,1,0,0,1
University of Illinois,2021,1,0,0,0,0,0,1
University of Kentucky,2024,1,1,79906.37,1,1,79906.37,1
University of Kentucky,2025,1,0,0,1,0,0,1
University of Maryland,2023,1,1,107550.99,1,1,107550.99,1
University of Minnesota,2021,1,1,74918.7,1,1,74918.7,1
University of Minnesota,2023,1,1,34998.75,1,1,34998.75,1
University of Minnesota,2024,1,1,34996.21,1,1,34996.21,1
University of Minnesota,2025,1,1,245367.26,0,0,0,1
University of Missouri,2021,1,0,0,0,0,0,1
University of Missouri,2025,2,0,0,0,0,0,2
University of Missouri,2026,2,0,0,0,0,0,2
University of Nebraska,2021,4,1,199979.27,0,0,0,3
University of Nebraska,2023,1,0,0,0,0,0,1
University of Nebraska,2024,4,2,108572.06,0,0,0,1
University of Nebraska,2025,1,0,0,0,0,0,1
University of Nebraska,2026,1,0,0,0,0,0,1
University of Nevada Reno,2021,1,0,0,0,0,0,1
University of Nevada Reno,2022,1,1,28051.24,1,1,28051.24,1
University of New Hampshire,2022,1,1,315600.93,0,0,0,1
University of New Hampshire,2025,1,0,0,0,0,0,1
University of Northern Colorado,2021,1,0,0,0,0,0,1
