direct_sponsor,direct_sponsor_type,proposals,awards,award_dollars,average_award_amount,observed_funded_share,first_year,last_year,years_represented,originating_sponsors,federal_awards,federal_award_dollars,dare_proposals,dare_awards,dare_award_dollars,federal_share_of_award_dollars,dare_share_of_award_dollars,top_originating_sponsor,top_originating_sponsor_awards,top_originating_sponsor_dollars
The Ohio State University,Other Domestic Higher Education,6,3,3195012.49,1065004.1633333333,0.5,2021,2025,4,6,3,3195012.49,1,1,60170.9,1,0.018832758929214703,USDA-NIFA-National Institute of Food and Agriculture,1,2946168.56
Kansas State University,Other Domestic Higher Education,21,14,2042147.52,145867.68,0.6666666666666666,2021,2026,6,5,11,1943145.69,2,1,61375.67,0.9515207255938102,0.030054474223292153,DOS-AID-Agency for Inter. Development,2,959855.0900000001
Cornell University,Other Domestic Higher Education,5,4,1689041.6700000002,422260.41750000004,0.8,2021,2024,4,3,4,1689041.6700000002,1,1,37733.41,1,0.022340129713910493,DOS-AID-Agency for Inter. Development,3,1651308.26
Texas A and M University,Other Domestic Higher Education,16,5,1674928.88,334985.77599999995,0.3125,2021,2026,6,4,5,1674928.88,5,3,75652.88,1,0.04516781631946069,USDA-NIFA-National Institute of Food and Agriculture,2,1599276
Montana State University,Other Domestic Higher Education,32,11,1205755.4,109614.12727272726,0.34375,2021,2026,6,3,11,1205755.4,0,0,0,1,0,USDA-NIFA-National Institute of Food and Agriculture,10,1188505.57
"University of California, Davis",Other Domestic Higher Education,12,7,936953.9199999999,133850.56,0.5833333333333334,2021,2025,5,5,6,696952.88,1,0,0,0.7438496868661375,0,USDA-NIFA-National Institute of Food and Agriculture,6,696952.88
University of Colorado,State of Colorado Higher Education,1,1,899541.97,899541.97,1,2022,2022,1,1,1,899541.97,0,0,0,1,0,DOD-US Department of Defense,1,899541.97
Washington State University,Other Domestic Higher Education,8,4,549963.56,137490.89,0.5,2021,2025,5,1,4,549963.56,3,3,249961.3,1,0.45450520394478494,USDA-NIFA-National Institute of Food and Agriculture,4,549963.56
"University of California, Riverside",Other Domestic Higher Education,6,1,499294.9,499294.9,0.16666666666666666,2021,2026,3,4,1,499294.9,0,0,0,1,0,DOE-US Department of Energy,1,499294.9
North Carolina State University,Other Domestic Higher Education,7,3,467499.4,155833.13333333333,0.42857142857142855,2021,2026,5,3,0,0,1,0,0,0,0,Foundation for Food & Agriculture Research,3,467499.4
