key_id,year,funded,amount,lead_unit_code,project_title,originating_sponsor,originating_sponsor_type,direct_sponsor,direct_sponsor_type,sponsor_selection_rule
K000150190,2021,TRUE,127039.86,1172,COVID 19: Modeling COVID-19 to Support the State Government FY22,Colorado Department of Public Health and Environment,State of Colorado,Colorado School of Public Health Center for Global Health,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149506,2021,FALSE,37288.24,1172,COVID 19: Modeling COVID-19 to Support the State Government,Colorado Department of Public Health and Environment,State of Colorado,Colorado School of Public Health Center for Global Health,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148613,2021,TRUE,188673.03,1170,Metabolic Modeling and Genetic Engineering of Enhanced Anaerobic Microbial Ethylene Synthesis,DOE-US Department of Energy,Federal,The Ohio State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149268,2021,TRUE,363937.21,1170,"Genetic Enhancement of Pearl Millet for Yield, Biotic and Abiotic Stress Tolerance in West Africa",DOS-AID-Agency for Inter. Development,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148883,2021,TRUE,595917.88,1170,Durable Adaptation to Aphid and Drought for Smallholder Sorghum in the Americas,DOS-AID-Agency for Inter. Development,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150372,2021,TRUE,165000,1170,"Elizabeth Ellis: Can Regenerative Agriculture Sustainably Produce Food, Sequester Carbon, and Increase Farm Financial and Ecological Resilience?",Foundation for Food & Agriculture Research,Domestic Non-Profit (other than Domestic Foundations),North Carolina State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151160,2021,TRUE,28764.47,1171,CCTSI: Evaluating Low-Biomass Microbial Communities Associated with Spontaneous Canine Tumors as a Model for Human Disease,HHS-NIH-National Institutes of Health,Federal,University of Colorado at Denver,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148586,2021,TRUE,4000.01,1171,Physiological Mechanisms of Action Relating to Immediate and Long-Term Therapeutic Horseback Riding Intervention Effects in a Psychiatric Population of Youth with Autism Spectrum Disorder,HHS-NIH-National Institutes of Health,Federal,University of Colorado at Denver,State of Colorado Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149724,2021,FALSE,62902.1,1177,Triticale and Rye as a Source for Novel Mosaic Virus and Vector Resistance in Wheat,Kansas State University,Other Domestic Higher Education,University of Nebraska,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150786,2021,TRUE,199979.27,1170,Accelerating Adoption of Irrigation Scheduling with Satellite-based Precision Evapotranspiration from OpenET,NASA-National Aeronautics and Space Administration,Federal,University of Nebraska,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149640,2021,TRUE,153942.43,1177,Identification and Characterization of New Sources of Genetic Resistance to Wheat Stem Sawfly in Wild Wheat Species,NSF-National Science Foundation,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151489,2021,TRUE,57270.18,1177,A Course Scaffold for Integrating Science and Culture: Exploring Faculty Adaptations Across Disciplines and Institutions,NSF-National Science Foundation,Federal,Southern Illinois University Edwardsville,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150415,2021,FALSE,1191411.7,1177,Plant-Pathogen Transcriptomics Approaches to Understand the Effect of High Temperature on Bacterial Diseases of Rice,NSF-National Science Foundation,Federal,University of Arkansas for Medical Sciences,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151060,2021,FALSE,51111.64,1170,A Trait-Based Approach for Understanding the Role of Fire-Adapted Microbes on Ecosystem Carbon and Nitrogen Cycling Post-Fire,NSF-National Science Foundation,Federal,"University of California, Riverside",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148479,2021,FALSE,51127.89,1170,A Trait-Based Approach for Understanding the Role of Fire-Adapted Microbes on Ecosystem Carbon and Nitrogen Cycling Post-Fire,NSF-National Science Foundation,Federal,"University of California, Riverside",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148298,2021,FALSE,483153.7,1170,Leveraging Quantitative Trait Genomics to Reintegrate Statistical and Biological Perspectives on Epistasis,NSF-National Science Foundation,Federal,University of Illinois,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148564,2021,TRUE,75080.14,1172,Implications of Solar Radiation Management for Strategic Behavior and Climate Governance,NSF-National Science Foundation,Federal,University of Wyoming,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149543,2021,TRUE,26587,1171,Early Postmortem Temperature Variations on Beef Muscle Tenderness and Color Development,National Cattlemens Beef Association,Domestic Non-Profit (other than Domestic Foundations),Texas Tech University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150543,2021,TRUE,48353.85,1172,Evaluating Impacts on People from Conservation Interventions,PEW Charitable Trusts,Domestic Non-Profit (other than Domestic Foundations),University of Tennessee,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151115,2021,FALSE,133136.25,1173,Fostering Multistate Collaboration in Native Plant Production and Improvement for Arid and Semi-Arid Urban Landscapes,USDA-AMS-Agricultural Marketing Service,Federal,University of Nevada Reno,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149650,2021,FALSE,174424.49,1173,Understanding How Dry Bean Agronomic Traits Impact the Ecology of the Gut Microbiome in a Mouse Model of Obesity,USDA-ARS-Agricultural Research Service,Federal,University of Nebraska,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148656,2021,FALSE,1855.46,1170,Improved White Mold Resistance in Dry and Snap Beans through Multi-Site Screening and Pathogen Characterization throughout Major Production Areas,USDA-ARS-Agricultural Research Service,Federal,University of Nebraska,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150086,2021,TRUE,32899.99,1172,"Implications of a U.S.-Southeast Asia (ASEAN) Trade Agreement: A Focus on Trade, Macroeconomic, and Sector-Specific Outcomes",USDA-Foreign Agricultural Service,Federal,University of Tennessee,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148957,2021,FALSE,1936726.38,1172,Improving US Beef Industry Resilience through True Cost Accounting,USDA-NIFA-National Institute of Food and Agriculture,Federal,Arizona State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149211,2021,FALSE,660355.12,1177,Hemp Research Consortium,USDA-NIFA-National Institute of Food and Agriculture,Federal,Cornell University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149782,2021,TRUE,29997.77,1177,Great Plains Diagnostic Network: Colorado State University Laboratory 2021-2022,USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149209,2021,TRUE,83432.82,1170,Development and Management of Canola in the Great Plains Region,USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149063,2021,FALSE,3630,1177,Great Plains Plant Diagnostic Network 2020-2021,USDA-NIFA-National Institute of Food and Agriculture,Federal,Kansas State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149946,2021,FALSE,28522.25,1170,Determining the Greenhouse Gas Mitigation Potential of High-Density Apple Orchards in the Great Lakes Region,USDA-NIFA-National Institute of Food and Agriculture,Federal,Michigan State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149762,2021,FALSE,322166.34,1173,Genotype-Dependent Physiology and Metabolism of Malting with Effects on Quality,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148776,2021,FALSE,29949.26,1173,Brendon Anthony: Optimizing Peach Orchard Design and Density to Promote Sustainable and Efficient Production of High-Quality Fruit,USDA-NIFA-National Institute of Food and Agriculture,Federal,Montana State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149742,2021,TRUE,187334.13,1170,Establishing a Soil Health Framework for Water-Limited Regions,USDA-NIFA-National Institute of Food and Agriculture,Federal,New Mexico State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149067,2021,FALSE,1703474.29,1172,Systems Change to Achieve Resiliency: A Farm to Fork Approach,USDA-NIFA-National Institute of Food and Agriculture,Federal,North Carolina State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148886,2021,FALSE,476670.19,1171,Enhancing the Efficiencies and Robustness of Beef Production Systems,USDA-NIFA-National Institute of Food and Agriculture,Federal,Oklahoma State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148421,2021,FALSE,659968.74,1171,Enhancing the Competitiveness of the US Organic Beef,USDA-NIFA-National Institute of Food and Agriculture,Federal,Oklahoma State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149246,2021,TRUE,9000,1173,Western Regional Center to Enhance Food Safety: Fostering Collaboration through Continued Food Safety Education and Stakeholder Support of FSMA Implementation,USDA-NIFA-National Institute of Food and Agriculture,Federal,Oregon State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000149016,2021,FALSE,1847056.75,1171,Towards Net Zero Emissions through Re-Optimized Systems (TNetZEROS),USDA-NIFA-National Institute of Food and Agriculture,Federal,Pennsylvania State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150070,2021,TRUE,92882.34,1172,Labor Markets and the Impacts of Environmental Stresses and Conservation Policies on US Agriculture,USDA-NIFA-National Institute of Food and Agriculture,Federal,Purdue University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148835,2021,FALSE,69999.52,1171,"The Deep Chill Process: A Novel Approach for Increasing Yield, Enhancing Tenderness, Stabilizing Microbial Soundness of Fresh Bison Cuts",USDA-NIFA-National Institute of Food and Agriculture,Federal,South Dakota State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000148647,2021,TRUE,89720.3,1171,Benchmarking Live Animal & Carcass Quality Outcomes at Slaughter to Identify Factors Impacting Carcass Value,USDA-NIFA-National Institute of Food and Agriculture,Federal,South Dakota State University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150183,2021,FALSE,174586.45,1171,"Development, Validation, and Implementation of a Novel Unified Technology Platform for Use in Livestock Production Systems",USDA-NIFA-National Institute of Food and Agriculture,Federal,Texas A and M University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000150092,2021,FALSE,48001.67,1170,Evaluation of Industrial Hemp Fiber & Grain Cultivars to Avoid Pre-Mature Flowering for Southerly U.S. Adaptation,USDA-NIFA-National Institute of Food and Agriculture,Federal,Texas A and M University,Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
K000151368,2021,FALSE,42084.54,1177,Identification of Soil Microbial Taxa Associated with the Suppression of the Soil-Borne Plasmodiophorid Pathogen Spongospora Subterranea in Colorado Potato Growing Regions,USDA-NIFA-National Institute of Food and Agriculture,Federal,"University of California, Davis",Other Domestic Higher Education,Prime sponsor reported; direct sponsor is pass-through
