key_id,year,lead_unit_code,lead_unit_name,dare_lead,investigator_entry,investigator_name,investigator_role,investigator_unit_code,investigator_last,investigator_first,investigator_person_key,parse_success,roster_last,roster_first,roster_area,dare_roster_match
K000166401,2026,1170,Soil + Crop Sciences,FALSE,"Schipanski,Meagan Erin (Primary PI) 1170","Schipanski,Meagan Erin",Primary PI,1170,Schipanski,Meagan Erin,schipanski|m,TRUE,,,,FALSE
K000166688,2026,1170,Soil + Crop Sciences,FALSE,"Mason,Richard Esten (Primary PI) 1170","Mason,Richard Esten",Primary PI,1170,Mason,Richard Esten,mason|r,TRUE,,,,FALSE
K000166827,2026,1171,Animal Sciences,FALSE,"Narayanan Nair,Mahesh (Primary PI) 1171","Narayanan Nair,Mahesh",Primary PI,1171,Narayanan Nair,Mahesh,narayanan nair|m,TRUE,,,,FALSE
K000166827,2026,1171,Animal Sciences,FALSE,"Geornaras,Ifigenia (Co-PI) 1171","Geornaras,Ifigenia",Co-PI,1171,Geornaras,Ifigenia,geornaras|i,TRUE,,,,FALSE
K000166827,2026,1171,Animal Sciences,FALSE,"Delmore,Robert J (Key Person) 1171","Delmore,Robert J",Key Person,1171,Delmore,Robert J,delmore|r,TRUE,,,,FALSE
K000166827,2026,1171,Animal Sciences,FALSE,"Zhang,Peipei (Key Person) 1171","Zhang,Peipei",Key Person,1171,Zhang,Peipei,zhang|p,TRUE,,,,FALSE
K000166827,2026,1171,Animal Sciences,FALSE,"Belk,Keith (Key Person) 1171","Belk,Keith",Key Person,1171,Belk,Keith,belk|k,TRUE,,,,FALSE
K000166173,2026,1171,Animal Sciences,FALSE,"Place,Sara (Primary PI) 1171","Place,Sara",Primary PI,1171,Place,Sara,place|s,TRUE,,,,FALSE
K000166173,2026,1171,Animal Sciences,FALSE,"Vargas Martinez,Juan de Jesus de Jesus (Co-PI) 1171","Vargas Martinez,Juan de Jesus de Jesus",Co-PI,1171,Vargas Martinez,Juan de Jesus de Jesus,vargas martinez|j,TRUE,,,,FALSE
K000166173,2026,1171,Animal Sciences,FALSE,"Manriquez Alvarez,Diego Ignacio (Co-PI) 1171","Manriquez Alvarez,Diego Ignacio",Co-PI,1171,Manriquez Alvarez,Diego Ignacio,manriquez alvarez|d,TRUE,,,,FALSE
K000166173,2026,1171,Animal Sciences,FALSE,"Gomes Sitorski,Leonardo (Co-PI) 1171","Gomes Sitorski,Leonardo",Co-PI,1171,Gomes Sitorski,Leonardo,gomes sitorski|l,TRUE,,,,FALSE
K000166173,2026,1171,Animal Sciences,FALSE,"Marostegan de Paula,Eduardo (Co-PI) 1171","Marostegan de Paula,Eduardo",Co-PI,1171,Marostegan de Paula,Eduardo,marostegan de paula|e,TRUE,,,,FALSE
K000166803,2026,1171,Animal Sciences,FALSE,"Belk,Keith (Primary PI) 1171","Belk,Keith",Primary PI,1171,Belk,Keith,belk|k,TRUE,,,,FALSE
K000166803,2026,1171,Animal Sciences,FALSE,"Narayanan Nair,Mahesh (Co-PI) 1171","Narayanan Nair,Mahesh",Co-PI,1171,Narayanan Nair,Mahesh,narayanan nair|m,TRUE,,,,FALSE
K000166803,2026,1171,Animal Sciences,FALSE,"Delmore,Robert J (Co-PI) 1171","Delmore,Robert J",Co-PI,1171,Delmore,Robert J,delmore|r,TRUE,,,,FALSE
K000166312,2026,1173,Horticulture + Landscape Architecture,FALSE,"Uchanski,Mark E (Primary PI) 1173","Uchanski,Mark E",Primary PI,1173,Uchanski,Mark E,uchanski|m,TRUE,,,,FALSE
K000166423,2026,1173,Horticulture + Landscape Architecture,FALSE,"Burcham,Daniel C (Primary PI) 1173","Burcham,Daniel C",Primary PI,1173,Burcham,Daniel C,burcham|d,TRUE,,,,FALSE
K000166679,2026,1177,Agricultural Biology,FALSE,"Szczepaniec,Adrianna (Primary PI) 1177","Szczepaniec,Adrianna",Primary PI,1177,Szczepaniec,Adrianna,szczepaniec|a,TRUE,,,,FALSE
K000166679,2026,1177,Agricultural Biology,FALSE,"Mooney,Daniel F (Co-PI) 1172","Mooney,Daniel F",Co-PI,1172,Mooney,Daniel F,mooney|d,TRUE,Mooney,Daniel,Ag and Food,TRUE
K000166679,2026,1177,Agricultural Biology,FALSE,"Eubanks,Micky (Co-PI) 1177","Eubanks,Micky",Co-PI,1177,Eubanks,Micky,eubanks|m,TRUE,,,,FALSE
K000166784,2026,1172,Agricultural + Resource Economics,TRUE,"Thilmany,Dawn D (Primary PI) 1172","Thilmany,Dawn D",Primary PI,1172,Thilmany,Dawn D,thilmany|d,TRUE,Thilmany,Dawn,Ag and Food,TRUE
K000166697,2026,1177,Agricultural Biology,FALSE,"Nachappa,Punya (Primary PI) 1177","Nachappa,Punya",Primary PI,1177,Nachappa,Punya,nachappa|p,TRUE,,,,FALSE
K000166666,2026,1177,Agricultural Biology,FALSE,"Argueso,Cristiana (Primary PI) 1177","Argueso,Cristiana",Primary PI,1177,Argueso,Cristiana,argueso|c,TRUE,,,,FALSE
K000166666,2026,1177,Agricultural Biology,FALSE,"Denef,Karolien (Co-PI) 2019","Denef,Karolien",Co-PI,2019,Denef,Karolien,denef|k,TRUE,,,,FALSE
K000166666,2026,1177,Agricultural Biology,FALSE,"Boot,Claudia (Co-PI) 2019","Boot,Claudia",Co-PI,2019,Boot,Claudia,boot|c,TRUE,,,,FALSE
K000166666,2026,1177,Agricultural Biology,FALSE,"Yao,Linxing (Co-PI) 2019","Yao,Linxing",Co-PI,2019,Yao,Linxing,yao|l,TRUE,,,,FALSE
K000166541,2026,1177,Agricultural Biology,FALSE,"Nalam,Vamsi (Primary PI) 1177","Nalam,Vamsi",Primary PI,1177,Nalam,Vamsi,nalam|v,TRUE,,,,FALSE
K000166627,2026,1177,Agricultural Biology,FALSE,"Timm,Alicia Eva (Primary PI) 1177","Timm,Alicia Eva",Primary PI,1177,Timm,Alicia Eva,timm|a,TRUE,,,,FALSE
K000166671,2026,1173,Horticulture + Landscape Architecture,FALSE,"Prenni,Jessica E (Primary PI) 1173","Prenni,Jessica E",Primary PI,1173,Prenni,Jessica E,prenni|j,TRUE,,,,FALSE
K000166671,2026,1173,Horticulture + Landscape Architecture,FALSE,"Odenkirk,Melanie Taylor (Co-PI) 1173","Odenkirk,Melanie Taylor",Co-PI,1173,Odenkirk,Melanie Taylor,odenkirk|m,TRUE,,,,FALSE
K000166411,2026,1170,Soil + Crop Sciences,FALSE,"Wardle,Erik M (Primary PI) 1170","Wardle,Erik M",Primary PI,1170,Wardle,Erik M,wardle|e,TRUE,,,,FALSE
K000166411,2026,1170,Soil + Crop Sciences,FALSE,"Deleon,Emmanuel (Co-PI) 1170","Deleon,Emmanuel",Co-PI,1170,Deleon,Emmanuel,deleon|e,TRUE,,,,FALSE
K000166411,2026,1170,Soil + Crop Sciences,FALSE,"Wolf,Katie Elizabeth (Co-PI) 1170","Wolf,Katie Elizabeth",Co-PI,1170,Wolf,Katie Elizabeth,wolf|k,TRUE,,,,FALSE
K000166411,2026,1170,Soil + Crop Sciences,FALSE,"Brown,Ansley Joseph (Co-PI) 1170","Brown,Ansley Joseph",Co-PI,1170,Brown,Ansley Joseph,brown|a,TRUE,,,,FALSE
K000166411,2026,1170,Soil + Crop Sciences,FALSE,"Ladow,Jakob Felix (Co-PI) 1170","Ladow,Jakob Felix",Co-PI,1170,Ladow,Jakob Felix,ladow|j,TRUE,,,,FALSE
K000166308,2026,1171,Animal Sciences,FALSE,"Goncalves Da Costa,Bianca (Primary PI) 1171","Goncalves Da Costa,Bianca",Primary PI,1171,Goncalves Da Costa,Bianca,goncalves da costa|b,TRUE,,,,FALSE
