key_id,ip_number,pd_number,proposal_type,primary_pi,investigators,project_title,lead_unit,lead_unit_code,lead_unit_name,lead_college,start_date,start_year,end_date,end_date_century_error,fa_rate,fa_type,direct_sponsor,prime_sponsor,direct_sponsor_type,prime_sponsor_type,date_sent,year,status,funded,amount,originating_sponsor,originating_sponsor_type,sponsor_selection_rule,university_direct_with_prime,funding_source_type,dare_lead,partial_2026
K000166401,17231230,166401,Supplement/Additional Funding,"Schipanski,Meagan Erin","Schipanski,Meagan Erin (Primary PI) 1170",Improving Our Understanding of Plant and Soil Processes Regulating Water and Nitrogen Use,1170-Soil + Crop Sciences,1170,Soil + Crop Sciences,Agricultural Sciences-Academic Units (E1),2026-07-15,2026,2027-07-14,FALSE,0,No Indirect Cost Allowed,USDA-ARS-Agricultural Research Service,,Federal,,2026-07-21,2026,,FALSE,119757.3,USDA-ARS-Agricultural Research Service,Federal,Direct sponsor reported; prime sponsor unavailable,FALSE,Federal,FALSE,TRUE
K000166688,17231226,166688,Supplement/Additional Funding,"Mason,Richard Esten","Mason,Richard Esten (Primary PI) 1170",Wheat Resilience Initiative: Breeding for Wheat Stem Sawfly Resistance in Colorado,1170-Soil + Crop Sciences,1170,Soil + Crop Sciences,Agricultural Sciences-Academic Units (E1),2026-09-01,2026,2028-08-31,FALSE,10,TDC,USDA-ARS-Agricultural Research Service,,Federal,,2026-07-21,2026,,FALSE,124167.73,USDA-ARS-Agricultural Research Service,Federal,Direct sponsor reported; prime sponsor unavailable,FALSE,Federal,FALSE,TRUE
K000166827,17231217,166827,New,"Narayanan Nair,Mahesh","Narayanan Nair,Mahesh (Primary PI) 1171; Geornaras,Ifigenia (Co-PI) 1171; Delmore,Robert J (Key Person) 1171; Zhang,Peipei (Key Person) 1171; Belk,Keith (Key Person) 1171",Antimicrobial Effects of Novel Peroxyacetic Acid Product Against Foodborne Pathogens,1171-Animal Sciences,1171,Animal Sciences,Agricultural Sciences-Academic Units (E1),2026-09-15,2026,2026-12-15,FALSE,35,MTDC,Diversey,,Domestic Commercial,,2026-07-21,2026,,FALSE,19033.35,Diversey,Domestic Commercial,Direct sponsor reported; prime sponsor unavailable,FALSE,Industry,FALSE,TRUE
K000166173,17231205,166173,New,"Place,Sara","Place,Sara (Primary PI) 1171; Vargas Martinez,Juan de Jesus de Jesus (Co-PI) 1171; Manriquez Alvarez,Diego Ignacio (Co-PI) 1171; Gomes Sitorski,Leonardo (Co-PI) 1171; Marostegan de Paula,Eduardo (Co-PI) 1171","Harnessing Early-Life Probiotic Interventions for Sustainable Beef and Dairy Production: Long-Term Effects on Methane Emissions, Microbiome Establishment, Health, and Performance",1171-Animal Sciences,1171,Animal Sciences,Agricultural Sciences-Academic Units (E1),2027-03-01,2027,1930-02-28,TRUE,15,TDC,Foundation for Food & Agriculture Research,,Domestic Non-Profit (other than Domestic Foundations),,2026-07-21,2026,,FALSE,1998260.56,Foundation for Food & Agriculture Research,Domestic Non-Profit (other than Domestic Foundations),Direct sponsor reported; prime sponsor unavailable,FALSE,Foundation/nonprofit,FALSE,TRUE
K000166803,17231197,166803,New,"Belk,Keith","Belk,Keith (Primary PI) 1171; Narayanan Nair,Mahesh (Co-PI) 1171; Delmore,Robert J (Co-PI) 1171",Morocco - Slaughterhouse and Cold Storage in the Red Meat Value Chain,1171-Animal Sciences,1171,Animal Sciences,Agricultural Sciences-Academic Units (E1),2026-10-01,2026,1931-09-30,TRUE,24,MTDC,Financial Services Volunteer Corp,USDA-Foreign Agricultural Service,Domestic Non-Profit (other than Domestic Foundations),Federal,2026-07-21,2026,,FALSE,505812.04,USDA-Foreign Agricultural Service,Federal,Prime sponsor reported; direct sponsor is pass-through,FALSE,Federal,FALSE,TRUE
K000166312,17231193,166312,New,"Uchanski,Mark E","Uchanski,Mark E (Primary PI) 1173",Global Ram Family: Expanding bilateral scientific cooperation between Colorado State University (USA) and Lincoln University (NZ),1173-Horticulture + Landscape Architecture,1173,Horticulture + Landscape Architecture,Agricultural Sciences-Academic Units (E1),2026-09-01,2026,2028-08-31,FALSE,35,MTDC,DOS - US Department of State,,Federal,,2026-07-21,2026,,FALSE,98742.53,DOS - US Department of State,Federal,Direct sponsor reported; prime sponsor unavailable,FALSE,Federal,FALSE,TRUE
K000166423,17229263,166423,New,"Burcham,Daniel C","Burcham,Daniel C (Primary PI) 1173",Evaluating methods for tracking changes in tree wind loads after pruning alongside growth responses,1173-Horticulture + Landscape Architecture,1173,Horticulture + Landscape Architecture,Agricultural Sciences-Academic Units (E1),2027-01-01,2027,2029-12-31,FALSE,10,TDC,Florida Chapter International Society of Arboriculture,,Domestic Non-Profit (other than Domestic Foundations),,2026-07-08,2026,,FALSE,118468,Florida Chapter International Society of Arboriculture,Domestic Non-Profit (other than Domestic Foundations),Direct sponsor reported; prime sponsor unavailable,FALSE,Foundation/nonprofit,FALSE,TRUE
K000166679,17228977,166679,New,"Szczepaniec,Adrianna","Szczepaniec,Adrianna (Primary PI) 1177; Mooney,Daniel F (Co-PI) 1172; Eubanks,Micky (Co-PI) 1177",Optimizing Chile Pepper Production Near Alfalfa: Integrated Strategies to Reduce Crop Losses and Increase Profitability,1177-Agricultural Biology,1177,Agricultural Biology,Agricultural Sciences-Academic Units (E1),2027-05-01,2027,2029-04-30,FALSE,42.85,TDC,USDA-NIFA-National Institute of Food and Agriculture,,Federal,,2026-07-07,2026,,FALSE,299999.75,USDA-NIFA-National Institute of Food and Agriculture,Federal,Direct sponsor reported; prime sponsor unavailable,FALSE,Federal,FALSE,TRUE
K000166784,17228973,166784,New,"Thilmany,Dawn D","Thilmany,Dawn D (Primary PI) 1172",Sustaining Western Food System Collaborations,1172-Agricultural + Resource Economics,1172,Agricultural + Resource Economics,Agricultural Sciences-Academic Units (E1),2026-08-01,2026,2027-06-30,FALSE,0,No Indirect Cost Allowed,University of Idaho,USDA-NIFA-National Institute of Food and Agriculture,Other Domestic Higher Education,Federal,2026-07-07,2026,,FALSE,15250.1,USDA-NIFA-National Institute of Food and Agriculture,Federal,Prime sponsor reported; direct sponsor is pass-through,TRUE,Federal,TRUE,TRUE
K000166697,17228969,166697,Supplement/Additional Funding,"Nachappa,Punya","Nachappa,Punya (Primary PI) 1177",Great Plains Wheat Stem Sawfly Coalition,1177-Agricultural Biology,1177,Agricultural Biology,Agricultural Sciences-Academic Units (E1),2026-10-01,2026,2027-09-30,FALSE,0,No Indirect Cost Allowed,USDA-ARS-Agricultural Research Service,,Federal,,2026-07-07,2026,,FALSE,24997.4,USDA-ARS-Agricultural Research Service,Federal,Direct sponsor reported; prime sponsor unavailable,FALSE,Federal,FALSE,TRUE
