doi_clean,title_short,venue,year
10.22004/ag.econ.322851,Reductions in National Forest Campground Reservation Demand from Wildfire,Journal of Agricultural and Resource Economics,2023
10.22004/ag.econ.339590,The Economics of Wildland Firefighting Aviation Procurement and Effectiveness,Western Economics Forum,2023
10.22004/ag.econ.320675,I say Milk you say Mylk: Demand separability and substitution in a broadened milk category,Journal of Agricultural and Resource Economics,2023
10.1016/j.jclepro.2023.139224,Sustainability of lettuce production: local and centralized food production,Journal of Cleaner Production,2023
10.1016/j.wre.2023.100214,Further evidence on social comparison and residential water use,Water Resources and Economics,2023
10.22004/ag.econ.348931,Grand Challenge: Safe Affordable Accessible and Acceptable Food,Choices,2024
10.22004/ag.econ.352133,Consumer Spending on Plant-Based Meat Alternatives,Choices,2024
10.22004/ag.econ.342182,Health News Environment and the Distribution of Diet Quality,Journal of Agricultural and Resource Economics,2024
10.22004/ag.econ.317782,Potential Impacts of Hard Infrastructure Development on Food and Agricultural Trade,Journal of Food Distribution Research,2021
10.22004/ag.econ.342181,Economy-Wide Effects of Bovine Spongiform Encephalopathy in Brazil,Journal of Agricultural and Resource Economics,2024
10.22004/ag.econ.344756,U.S. Meat Export Potential in ASEAN,Choices,2024
10.22004/ag.econ.344758,U.S. Soy Exports Could Crush it in ASEAN,Choices,2024
10.22004/ag.econ.329528,Opportunities and Challenges Associated with Carbon Farming for US Row-Crop Producers,Choices,2022
10.22004/ag.econ.344684,Climate and Consolidation in the US Beef Cow Sector,Journal of Agricultural and Resource Economics,2025
10.22004/ag.econ.349293,Virtual Fencing: Economic and Policy Implications of an Emerging Livestock Technology,Western Economics Forum,2024
10.1016/j.reseneeco.2021.101143,Depletion climate and the incremental value of groundwater,Resource and Energy Economics,2021
10.1016/j.foodcont.2025.111582,Fungal ecology and postharvest factors driving aflatoxin contamination in Ghanaian groundnuts,Food Control,2026
10.22004/ag.econ.320671,Comparative Profitability of Irrigated Cropping Activities for Temporary Water Transfers,Journal of Agricultural and Resource Economics,2023
10.22004/ag.econ.342913,Total Ranch Analysis Colorado (TRAC): A Ranch Benchmarking Program,Journal of the American Society of Farm Managers and Rural Appraisers,2024
10.22004/ag.econ.348009,Agricultural Producer Decision Making around Water Conservation in the Upper Colorado River Basin,Choices,2024
10.22004/ag.econ.364767,Exploring the Potential for Innovative Water Management Strategies to Support Irrigated Farmland Transitions,Western Economics Forum,2025
10.1016/j.cropro.2025.107134,Alfalfa Harvest Timing Impacts on Alfalfa Weevil with Agronomic and Economic Contexts,Crop Production,2025
10.22004/ag.econ.364766,Identifying a Path Forward: Evaluating Ranch Socio-Economic Sustainability,Western Economics Forum,2025
10.22004/ag.econ.364770,Labor Changes in the US Beef Industry Magnify Challenges with Succession,Western Economics Forum,2025
10.22004/ag.econ.333520,Perspectives on Diversity Equity and Inclusion in the Agricultural and Applied Economics Profession,Applied Economics Teaching Resources,2023
10.22004/ag.econ.339678,Price Transmission and Asymmetry in the Colorado Potato Supply Chain,Journal of Food Distribution Research,2023
