last,first,area,year,type,index_class,extension_output,type_requires_review,title_short,venue,doi,publication_key,publication_count_status
Magnan,Nicholas,Ag and Food,2021,JA,a,0,0,Can Experiential Games and Improved Risk Coverage Raise Demand for Index Insurance,American Journal of Agricultural Economics,10.1111/ajae.12124,doi:10.1111/ajae.12124,Outside active CSU affiliation
Magnan,Nicholas,Ag and Food,2021,JA,a,0,0,Information Technology and Market Rewards: Incentivizing Aflatoxin Control in Ghana,Journal of Development Economics,10.1016/j.jdeveco.2020.102620,doi:10.1016/j.jdeveco.2020.102620,Outside active CSU affiliation
Magnan,Nicholas,Ag and Food,2022,JA,a,0,0,Demand for Weather Index Insurance among Smallholder Farmers under Prospect Theory,Journal of Economic Behavior and Organization,10.1016/j.jebo.2022.07.027,doi:10.1016/j.jebo.2022.07.027,Outside active CSU affiliation
Burkhardt,Jesse,ENRE,2025,WP,NA,NA,0,Willingness to Participate in Agricultural Water Conservation Programs: Choice Experiment Evidence from the Upper Colorado River Basin,AAEA Conference Paper,10.22004/ag.econ.361067,doi:10.22004/ag.econ.361067,Publication type not countable
Burkhardt,Jesse,ENRE,2026,WP,NA,NA,0,Climate variability introduces uncertainty into future emissions pathways,EarthAirXiv,10.31223/x5518b,doi:10.31223/x5518b,Publication type not countable
Graff,Gregory,Ag and Food,2025,WP,NA,NA,0,"The contribution of startups, venture finance, and patenting to innovation in US agriculture",USPTO Economic Working Paper,10.2139/ssrn.4892791,doi:10.2139/ssrn.4892791,Publication type not countable
Graff,Gregory,Ag and Food,2026,WP,NA,NA,0,Diffusion of Genetically Modified Crop Technology: Economic Research Working Paper No. 93,World Intellectual Property Organization (WIPO) Economic Research Working Paper Series,NA,titleyear:diffusion of genetically modified crop technology economic r|2026,Publication type not countable
Hoag,Dana,ENRE,2025,WP,NA,NA,0,Willingness to Participate in Agricultural Water Conservation Programs: Choice Experiment Evidence from the Upper Colorado River Basin,AAEA Conference Paper,10.22004/ag.econ.361067,doi:10.22004/ag.econ.361067,Publication type not countable
Hoag,Dana,ENRE,2026,WP,NA,NA,0,Profitability of Threshold-Based Flex Crop Strategies for Dryland Wheat Rotations,AAEA Conference Paper,10.22004/ag.econ.404698,doi:10.22004/ag.econ.404698,Publication type not countable
Mooney,Daniel,Ag and Food,2025,WP,NA,NA,0,Willingness to Participate in Agricultural Water Conservation Programs: Choice Experiment Evidence from the Upper Colorado River Basin,AAEA Conference Paper,10.22004/ag.econ.361067,doi:10.22004/ag.econ.361067,Publication type not countable
Mooney,Daniel,Ag and Food,2026,WP,NA,NA,0,Profitability of Threshold-Based Flex Crop Strategies for Dryland Wheat Rotations,AAEA Conference Paper,10.22004/ag.econ.404698,doi:10.22004/ag.econ.404698,Publication type not countable
