publication_key,year,type,index_class,title_short,venue,doi,cited_by_count,impact_factor,n_dare_authors,faculty_names,faculty_last_names,research_areas,cross_area_publication,internal_collaboration,student_coauthored,added_from_coauthor_any,journal_article_countable,verified_peer_reviewed,in_reporting_window,edge_2026
titleyear:another look at alternative marketing arrangement use by the|2021,2021,BC,NA,Another Look at Alternative Marketing Arrangement Use by the Cattle and Beef Industry,"The U.S. Beef Supply Chain, Texas A&M AFPC",NA,NA,NA,1,Stephen Koontz,Koontz,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
titleyear:beyond gdp measuring rural assets and why it matters ch 40|2021,2021,BC,NA,Beyond GDP: Measuring Rural Assets and Why It Matters. Ch. 40,Investing in Rural Prosperity,NA,NA,NA,1,Becca Jablonski,Jablonski,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1007/978-3-030-45367-1_14,2021,BC,NA,Economics of Invasive Species (Chapter 14),"Invasive Species in Forests and Rangelands of the US, Springer",10.1007/978-3-030-45367-1_14,39,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.7208/chicago/9780226779195-007,2021,BC,NA,Venture Capital and the Transformation of Private R&D for Agriculture,Economics of Research and Innovation in Agriculture,10.7208/chicago/9780226779195-007,NA,NA,1,Gregory Graff,Graff,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1146/annurev-resource-101620-080426,2021,JA,a,Agricultural Labor Supply,Annual Review of Resource Economics,10.1146/annurev-resource-101620-080426,34,6.617,1,Alexandra Hill,Hill,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.2305/iucn.ch.2021.parks-27-sitc.en,2021,JA,b,Building sustainable financing for resilient protected and conserved areas,PARKS,10.2305/iucn.ch.2021.parks-27-sitc.en,35,NA,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.311308,2021,JA,b,COVID-19 and Farm Workers,Western Economics Forum,10.22004/ag.econ.311308,0,NA,1,Alexandra Hill,Hill,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.311309,2021,JA,b,COVID-19 and the renewed migration to the rural west,Western Economics Forum,10.22004/ag.econ.311309,10,NA,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s10584-022-03441-9,2021,JA,a,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,2,5.174,3,Chris Goemans; Dale Manning; Jordan Suter,Goemans; Manning; Suter,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/00036846.2020.1866160,2021,JA,a,Competitive and Welfare Effects of Private Label Presence in Differentiated Food Markets,Applied Economics,10.1080/00036846.2020.1866160,11,1.916,1,Alessandro Bonanno,Bonanno,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1017/jwe.2021.8,2021,JA,a,Consumer Stigma and the Reputation Trap Hypothesis,Journal of Wine Economics,10.1017/jwe.2021.8,2,2.178,2,Becca Jablonski; Marco Costanigro,Costanigro; Jablonski,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13047,2021,JA,a,Do Cottage Food Laws Reduce Barriers to Entry for Food Manufacturers,Applied Economic Perspectives and Policy,10.1002/aepp.13047,10,4.89,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s10584-021-03009-z,2021,JA,a,Does Solar Geoengineering Crowd Out Climate Change Mitigation Efforts,Climatic Change,10.1007/s10584-021-03009-z,30,5.174,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/wat2.1571,2021,JA,a,Dry landscapes and parched economies: drought impacts on nonagricultural sectors,WIREs Water,10.1002/wat2.1571,38,7.428,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1126/science.abe4943,2021,JA,a,Effects of land dispossession and forced migration on Indigenous peoples,Science,10.1126/science.abe4943,204,63.714,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13096,2021,JA,a,Emergency Food Provision for Children and Families during the Covid-19 Pandemic,Applied Economic Perspectives and Policy,10.1002/aepp.13096,60,4.89,2,Becca Jablonski; Rebecca Cleary,Cleary; Jablonski,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1017/s1742170519000371,2021,JA,a,Enhancing Understanding of Food Purchasing Patterns in the Northeast,Renewable Agriculture and Food Systems,10.1017/s1742170519000371,3,2.915,2,Alessandro Bonanno; Rebecca Cleary,Bonanno; Cleary,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3201/eid2709.204167,2021,JA,a,Estimating the Impact of Statewide Policies to Reduce Spread of SARS-CoV-2,Emerging Infectious Diseases,10.3201/eid2709.204167,17,16.126,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/jas/skaa405,2021,JA,a,Evaluation of Biological and Economic Efficiency of the All Heifer No Cow Beef Production System,Journal of Animal Science,10.1093/jas/skaa405,6,3.338,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
titleyear:farm data collection and software adoption in commercial sca|2021,2021,JA,b,Farm Data Collection and Software Adoption in Commercial Scale US Corn-Soybean Farms,Western Economics Forum,NA,NA,NA,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.ecoser.2021.101351,2021,JA,a,Finance for Nature: Bridging the blue-green investment gap,Ecosystem Services,10.1016/j.ecoser.2021.101351,6,6.91,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.21273/hortsci15871-21,2021,JA,a,GMO Turfgrass Introduction to the Market,HortScience,10.21273/hortsci15871-21,3,1.874,1,Joshua Berning,Berning,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.reseneeco.2019.101143,2021,JA,a,Groundwater Depletion Climate and the Incremental Value of Groundwater,Resource and Energy Economics,10.1016/j.reseneeco.2019.101143,32,3.553,3,Chris Goemans; Dale Manning; Jordan Suter,Goemans; Manning; Suter,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13098,2021,JA,a,If You Build It Will it Matter? Food Stores Presence and Perceived Barriers,Applied Economic Perspectives and Policy,10.1002/aepp.13098,6,4.89,1,Alessandro Bonanno,Bonanno,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:impacts of the covid 19 pandemic on agriculture and natural |2021,2021,JA,b,Impacts of the COVID-19 pandemic on agriculture and natural resources in the western US,Western Economics Forum,NA,NA,NA,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/qopen/qoab006,2021,JA,a,Inequality Hinders Group Efforts to Avoid Environmental Disasters,Q Open,10.1093/qopen/qoab006,3,2.3,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1109/ojcs.2021.3085846,2021,JA,a,LATTICE: Machine Learning Data Engineering and Policy for Digital Agriculture,IEEE Open Journal of the Computer Society,10.1109/ojcs.2021.3085846,33,8.2,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s10683-020-09650-2,2021,JA,a,Learning to Accept Welfare-Enhancing Policies: Congestion Pricing,Experimental Economics,10.1007/s10683-020-09650-2,24,2.387,2,Chris Goemans; Stephan Kroll,Goemans; Kroll,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13059,2021,JA,a,Local Food Markets and Labor Intensity,Applied Economic Perspectives and Policy,10.1002/aepp.13059,22,4.89,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13046,2021,JA,a,Local Foods go Downstream: Exploring the Spatial Factors Driving US Food Manufacturing,Applied Economic Perspectives and Policy,10.1002/aepp.13046,20,4.89,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1177/0272989x211021603,2021,JA,a,Maximizing the Efficiency of Active Case Finding for SARS-CoV-2 Using Bandit Algorithms,Medical Decision Making,10.1177/0272989x211021603,9,2.749,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foodpol.2021.102119,2021,JA,a,Measuring stocks of community wealth and its association with food systems efforts,Food Policy,10.1016/j.foodpol.2021.102119,13,6.08,2,Alessandro Bonanno; Becca Jablonski,Bonanno; Jablonski,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1073/pnas.2008814118,2021,JA,a,Measuring voluntary and policy-induced social distancing behavior during COVID-19,Proceedings of the National Academy of Sciences,10.1073/pnas.2008814118,167,11.1,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/1467-8489.12456,2021,JA,a,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,10.1111/1467-8489.12456,20,3.2,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
