last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file,openalex_work_id,openalex_type,type_mapping_rule,type_requires_review,extension_output,added_from_openalex,added_from_coauthor,author_match_rule,discovery_date,edge_2026,doi_clean,publication_key,affiliated_at_publication,affiliation_status,journal_norm,impact_factor,if_year_used,if_match_rule,oa_id,doi_raw,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors,n_grad_coauthors,grad_coauthors,any_student_at_pub,student_cv,student_cv_conflict,year_canonical,year_conflict,year_disagrees,student_coauthor_final,student_evidence,in_reporting_window
Graff,Gregory,Ag and Food,2022,BC,NA,NA,1,Graff;Seidl,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,10.1201/9781003149774-10,doi:10.1201/9781003149774-10,1,Active CSU affiliation,climate change animal health,NA,NA,Not applicable,W4297516866,https://doi.org/10.1201/9781003149774-10,An Introduction to the Economics of Climate Change and Animal Health,2022,2022-09-28,book-chapter,0,NA,NA,NA,FALSE,FALSE,3,NA,NA,NA,U,FALSE,2022,FALSE,FALSE,U,Undetermined,TRUE
Seidl,Andrew,Ag and Food,2022,BC,NA,NA,1,Graff;Seidl,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,10.1201/9781003149774-10,doi:10.1201/9781003149774-10,1,Active CSU affiliation,climate change animal health,NA,NA,Not applicable,W4297516866,https://doi.org/10.1201/9781003149774-10,An Introduction to the Economics of Climate Change and Animal Health,2022,2022-09-28,book-chapter,0,NA,NA,NA,FALSE,FALSE,3,NA,NA,NA,U,FALSE,2022,FALSE,FALSE,U,Undetermined,TRUE
Hoag,Dana,ENRE,2024,BC,NA,N,0,NA,Reducing wind erosion damages and the Conservation Reserve Program,CRC Press,10.1201/9781003574040-12,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,10.1201/9781003574040-12,doi:10.1201/9781003574040-12,1,Active CSU affiliation,crc press,NA,NA,Not applicable,W4403308619,https://doi.org/10.1201/9781003574040-12,Reducing Wind Erosion Damages and the Conservation Reserve Program,2024,2024-10-10,book-chapter,0,NA,NA,NA,FALSE,FALSE,3,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
Hoag,Dana,ENRE,2024,BC,NA,N,0,NA,Is US soil conservation policy a sustainable development?,CRC Press,isbn:9780849300059,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:is us soil conservation policy a sustainable development|2024,1,Active CSU affiliation,crc press,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2024,FALSE,FALSE,N,Neither,TRUE
Graff,Gregory,Ag and Food,2021,BC,NA,NA,0,NA,Venture Capital and the Transformation of Private R&D for Agriculture,Economics of Research and Innovation in Agriculture,10.7208/chicago/9780226779195-007,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,10.7208/chicago/9780226779195-007,doi:10.7208/chicago/9780226779195-007,1,Active CSU affiliation,economics research innovation in agriculture,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,FALSE,2021,FALSE,FALSE,U,Undetermined,TRUE
Jablonski,Becca,Ag and Food,2022,BC,NA,NA,1,Jablonski;Thilmany,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:framing and evaluating the economic impacts of food system p|2022,1,Active CSU affiliation,food systems modeling elsevier,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,FALSE,2022,FALSE,FALSE,U,Undetermined,TRUE
Thilmany,Dawn,Ag and Food,2022,BC,NA,NA,1,Jablonski;Thilmany,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:framing and evaluating the economic impacts of food system p|2022,1,Active CSU affiliation,food systems modeling elsevier,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,FALSE,2022,FALSE,FALSE,U,Undetermined,TRUE
Jablonski,Becca,Ag and Food,2022,BC,NA,NA,0,NA,"Inquiry within, between, and beyond disciplines",Food Systems Modeling (Elsevier),NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:inquiry within between and beyond disciplines|2022,1,Active CSU affiliation,food systems modeling elsevier,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,FALSE,2022,FALSE,FALSE,U,Undetermined,TRUE
Countryman,Amanda,Ag and Food,2021,BC,NA,N,0,NA,Economics of Invasive Species (Chapter 14),"Invasive Species in Forests and Rangelands of the US, Springer",10.1007/978-3-030-45367-1_14,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1007/978-3-030-45367-1_14,doi:10.1007/978-3-030-45367-1_14,1,Active CSU affiliation,invasive species in forests rangelands us springer,NA,NA,Not applicable,W3127790114,https://doi.org/10.1007/978-3-030-45367-1_14,Economics of Invasive Species,2021,2021-01-01,book-chapter,39,NA,NA,NA,TRUE,FALSE,8,NA,NA,NA,N,FALSE,2021,FALSE,FALSE,N,Neither,TRUE
Jablonski,Becca,Ag and Food,2021,BC,NA,NA,0,NA,Beyond GDP: Measuring Rural Assets and Why It Matters. Ch. 40,Investing in Rural Prosperity,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:beyond gdp measuring rural assets and why it matters ch 40|2021,1,Active CSU affiliation,investing in rural prosperity,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,FALSE,2021,FALSE,FALSE,U,Undetermined,TRUE
Graff,Gregory,Ag and Food,2025,BC,NA,NA,0,NA,Intellectual Property in Agricultural Biotechnology: Strategies for Open Access,"Plant Biotechnology and Genetics: Principles, Techniques, and Applications",10.1002/9780470282014.ch14,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/9780470282014.ch14,doi:10.1002/9780470282014.ch14,1,Active CSU affiliation,plant biotechnology genetics principles techniques applications,NA,NA,Not applicable,W1482969843,https://doi.org/10.1002/9780470282014.ch14,Intellectual Property in Agricultural Biotechnology: Strategies for Open Access,2007,2007-10-11,other,8,NA,NA,NA,FALSE,FALSE,4,NA,NA,NA,U,FALSE,2025,FALSE,TRUE,U,Undetermined,TRUE
Kroll,Stephan,ENRE,2022,BC,NA,N,0,NA,A Small Collection of Pen-and-Paper Classroom Experiments for Teaching Environmental Economics,Teaching Environmental and Natural Resource Economics,10.4337/9781788114288.00018,krollstephan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.4337/9781788114288.00018,doi:10.4337/9781788114288.00018,1,Active CSU affiliation,teaching environmental natural resource economics,NA,NA,Not applicable,W4210786184,https://doi.org/10.4337/9781788114288.00018,A small collection of pen-and-paper classroom experiments for teaching environmental economics classes,2022,2022-01-18,book-chapter,0,Edward Elgar Publishing eBooks,NA,Edward Elgar Publishing,FALSE,FALSE,1,NA,NA,NA,N,FALSE,2022,FALSE,FALSE,N,Neither,TRUE
Koontz,Stephen,Ag and Food,2021,BC,NA,N,0,NA,Another Look at Alternative Marketing Arrangement Use by the Cattle and Beef Industry,"The U.S. Beef Supply Chain, Texas A&M AFPC",nodoi,koontzstephen.txt,NA,NA,NA,0,0,0,0,NA,NA,0,NA,titleyear:another look at alternative marketing arrangement use by the|2021,1,Active CSU affiliation,u s beef supply chain texas m afpc,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,FALSE,2021,FALSE,FALSE,N,Neither,TRUE
Goemans,Chris,ENRE,2024,BC,NA,Y,1,Goemans;Manning,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.7208/chicago/9780226830629-007,doi:10.7208/chicago/9780226830629-007,1,Active CSU affiliation,university chicago press,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,TRUE,2024,FALSE,FALSE,Y,CV only,TRUE
Manning,Dale,ENRE,2024,BC,NA,U,1,Goemans;Manning,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.7208/chicago/9780226830629-007,doi:10.7208/chicago/9780226830629-007,1,Active CSU affiliation,university chicago press,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,TRUE,2024,FALSE,FALSE,Y,CV only,TRUE
Delay,Nathan,Ag and Food,2025,CP,NA,NA,0,NA,Incorporating precision management technologies to reduce beef cattle enteric CH4 emissions on rangelands,Animal-Science proceedings,10.1016/j.anscip.2025.08.183,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.anscip.2025.08.183,doi:10.1016/j.anscip.2025.08.183,1,Active CSU affiliation,animal science proceedings,NA,NA,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,FALSE,2025,FALSE,FALSE,U,Undetermined,TRUE
Ritten,John,Ag and Food,2026,JA,a,NA,0,NA,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,African Journal of Range & Forage Science,10.2989/10220119.2025.2585814,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,10.2989/10220119.2025.2585814,doi:10.2989/10220119.2025.2585814,1,Active CSU affiliation,african journal range forage science,1.6,2025,Nearest year (2025),W7134037685,https://doi.org/10.2989/10220119.2025.2585814,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,2026,2026-01-02,article,1,African Journal of Range and Forage Science,1022-0119,Taylor & Francis,FALSE,FALSE,11,NA,NA,NA,U,FALSE,2026,FALSE,FALSE,U,Undetermined,FALSE
Costanigro,Marco,Ag and Food,2021,JA,a,Y,1,Costanigro;Jablonski,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/agr.21688,doi:10.1002/agr.21688,1,Active CSU affiliation,agribusiness international journal,2.841,2021,Exact journal-year,W3121785173,https://doi.org/10.1002/agr.21688,Promoting farmers market via information nudges and coupons: A randomized control trial,2021,2021-01-25,article,10,Agribusiness,0742-4477,Wiley,FALSE,FALSE,3,1,Nicole Didero,FALSE,Y,TRUE,2021,FALSE,FALSE,Y,CV only,TRUE
