last,first,area,year,type,student_coauthor,dare_coauthors_names,dare_coauthors,title_short,venue,doi,doi_clean,journal_norm,impact_factor,if_year_used,if_match_rule,oa_id,doi_raw,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors,n_grad_coauthors,grad_coauthors,any_student_at_pub,student_flag_disagrees,year_disagrees,faculty_type,faculty_rank,is_tt,pct_research,departed_flag,research_fte
Bayham,Jude,ENRE,2025,JA,Y,Berning;Costanigro,1,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,10.1002/aepp.70037,applied economic perspectives policy,3.6,2025,Exact journal-year,https://openalex.org/W4416337945,https://doi.org/10.1002/aepp.70037,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,2025,2025-11-18,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4,1,Nathan Palardy,FALSE,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2026,JA,Y,Berning;Bonanno,1,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,10.1002/ajae.70071,american journal agricultural economics,4.9,2025,Nearest year (2025),https://openalex.org/W7152708484,https://doi.org/10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4,1,Siwen Zhou,FALSE,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2024,JA,N,NA,0,Retention of Highly Qualified Wildland Firefighters in the Western US,Forest Policy and Economics,10.1016/j.forpol.2023.103115,10.1016/j.forpol.2023.103115,forest policy economics,3.8,2024,Exact journal-year,https://openalex.org/W4388995879,https://doi.org/10.1016/j.forpol.2023.103115,Retention of highly qualified wildland firefighters in the Western United States,2023,2023-11-25,article,8,Forest Policy and Economics,1389-9341,Elsevier BV,FALSE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2022,JA,N,NA,0,Model-Based Evaluation of Policy Impacts and COVID-19 Risk at Long Term Care Facilities,Infectious Disease Modelling,10.1016/j.idm.2022.07.003,10.1016/j.idm.2022.07.003,infectious disease modelling,2.5,2024,Nearest year (2024),https://openalex.org/W4285603340,https://doi.org/10.1016/j.idm.2022.07.003,Model-based evaluation of policy impacts and the continued COVID-19 risk at long term care facilities,2022,2022-07-15,article,13,Infectious Disease Modelling,2468-0427,KeAi,TRUE,FALSE,5,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2022,JA,N,NA,0,The Unintended Benefits of the Conservation Reserve Program for Air Quality,GeoHealth,10.1029/2022gh000648,10.1029/2022gh000648,geohealth,4.8,2022,Exact journal-year,https://openalex.org/W4304206881,https://doi.org/10.1029/2022gh000648,The Unintended Benefits of the Conservation Reserve Program for Air Quality,2022,2022-10-01,article,9,GeoHealth,2471-1403,Wiley,TRUE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,N,NA,0,Risk compensation and face mask mandates during the COVID-19 pandemic,Scientific Reports,10.1038/s41598-021-82574-w,10.1038/s41598-021-82574-w,scientific reports,4.996,2021,Exact journal-year,https://openalex.org/W3127456818,https://doi.org/10.1038/s41598-021-82574-w,Risk compensation and face mask mandates during the COVID-19 pandemic,2021,2021-02-04,article,102,Scientific Reports,2045-2322,Nature Portfolio,TRUE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2022,JA,N,NA,0,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,Scientific Reports,10.1038/s41598-022-12253-x,10.1038/s41598-022-12253-x,scientific reports,4.6,2022,Exact journal-year,https://openalex.org/W4280497021,https://doi.org/10.1038/s41598-022-12253-x,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,2022,2022-05-18,article,5,Scientific Reports,2045-2322,Nature Portfolio,TRUE,FALSE,5,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,N,NA,0,Measuring voluntary and policy-induced social distancing behavior during COVID-19,Proceedings of the National Academy of Sciences,10.1073/pnas.2008814118,10.1073/pnas.2008814118,proceedings national academy sciences,11.1,2022,Nearest year (2022),https://openalex.org/W3141737218,https://doi.org/10.1073/pnas.2008814118,Measuring voluntary and policy-induced social distancing behavior during the COVID-19 pandemic,2021,2021-04-05,article,167,Proceedings of the National Academy of Sciences,0027-8424,National Academy of Sciences,TRUE,FALSE,6,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2023,JA,Y,Berning;Costanigro;Thilmany,1,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,10.1080/00343404.2023.2166914,regional studies,4.2,2024,Nearest year (2024),https://openalex.org/W4319067211,https://doi.org/10.1080/00343404.2023.2166914,Beer sales in grocery and convenience stores: a glass half-full for craft brewers?,2023,2023-02-03,article,14,Regional Studies,0034-3404,Routledge,TRUE,FALSE,7,1,Nathan Palardy,FALSE,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2022,JA,N,Burkhardt,1,Does air pollution increase electric vehicle adoption,Journal of Environmental Economics and Policy,10.1080/21606544.2022.2059015,10.1080/21606544.2022.2059015,journal environmental economics policy,1.2,2024,Nearest year (2024),https://openalex.org/W4224076156,https://doi.org/10.1080/21606544.2022.2059015,"Does air pollution increase electric vehicle adoption? Evidence from U.S. metropolitan areas, 2011–2018",2022,2022-04-15,article,11,Journal of Environmental Economics and Policy,2160-6544,Taylor & Francis,TRUE,FALSE,5,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2025,JA,U,Goemans;Manning;Suter,1,Inland flooding in the United States: a review,Environmental Research Letters,10.1088/1748-9326/add35e,10.1088/1748-9326/add35e,environmental research letters,5.4,2025,Exact journal-year,https://openalex.org/W4410022855,https://doi.org/10.1088/1748-9326/add35e,"Inland flooding in the United States: a review of research related to risk management, economic behavior, and data resources",2025,2025-05-02,article,1,Environmental Research Letters,1748-9326,IOP Publishing,TRUE,FALSE,5,1,Diellza Muriqi,TRUE,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2022,JA,N,Burkhardt,1,Outside in: indoor and outdoor particulate air quality during wildfire smoke events,Environmental Research: Health,10.1088/2752-5309/ac7d69,10.1088/2752-5309/ac7d69,environmental research health,8.3,2022,Exact journal-year,https://openalex.org/W4283765007,https://doi.org/10.1088/2752-5309/ac7d69,Outside in: the relationship between indoor and outdoor particulate air quality during wildfire smoke events in western US cities,2022,2022-06-30,article,52,Environmental Research Health,2752-5309,IOP Publishing,TRUE,FALSE,8,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2023,JA,N,NA,0,Wildfire Response: A System on the Brink,Journal of Forestry,10.1093/jofore/fvac042,10.1093/jofore/fvac042,journal forestry,1.8,2024,Nearest year (2024),https://openalex.org/W4313336269,https://doi.org/10.1093/jofore/fvac042,Wildfire Response: A System on the Brink?,2022,2022-12-17,article,20,Journal of Forestry,0022-1201,Oxford University Press,TRUE,FALSE,6,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2024,JA,U,Burkhardt;Hill,1,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,10.1111/ajae.12439,american journal agricultural economics,3.3,2024,Exact journal-year,https://openalex.org/W4388279823,https://doi.org/10.1111/ajae.12439,"Air pollution, weather, and agricultural worker productivity",2023,2023-11-03,article,17,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,7,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,N,NA,0,Effects of land dispossession and forced migration on Indigenous peoples,Science,10.1126/science.abe4943,10.1126/science.abe4943,science,63.714,2021,Exact journal-year,https://openalex.org/W3210493173,https://doi.org/10.1126/science.abe4943,Effects of land dispossession and forced migration on Indigenous peoples in North America,2021,2021-10-28,article,204,Science,0036-8075,American Association for the Advancement of Science,TRUE,FALSE,6,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2022,JA,N,NA,0,The Economics of Wildfire in the United States,Annual Review of Resource Economics,10.1146/annurev-resource-111920-014804,10.1146/annurev-resource-111920-014804,annual review resource economics,5.8,2022,Exact journal-year,https://openalex.org/W4281886895,https://doi.org/10.1146/annurev-resource-111920-014804,The Economics of Wildfire in the United States,2022,2022-06-09,article,79,Annual Review of Resource Economics,1941-1340,Annual Reviews,FALSE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
