last,first,area,orcid,openalex_author_id,identifier_status,orcid_valid,openalex_id_valid
Bayham,Jude,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Bennett,Jenny,Ag Ed,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Berning,Joshua,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Bonanno,Alessandro,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Burkhardt,Jesse,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Chenarides,Lauren,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Chouinard,Hayley,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Clark,Nathan,Ag Ed,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Cleary,Rebecca,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Costanigro,Marco,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Countryman,Amanda,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Delay,Nathan,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Enns,Kellie,Ag Ed,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Frasier,Marshall,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Goemans,Chris,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Graff,Gregory,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Hill,Alexandra,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Hoag,Dana,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Jablonski,Becca,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Koontz,Stephen,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Kroll,Stephan,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Lewis,Lynne,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Magnan,Nicholas,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Manning,Dale,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Mooney,Daniel,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Perry,Greg,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Ritten,John,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Seidl,Andrew,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Suter,Jordan,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Thilmany,Dawn,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Van Sandt,Anders,Ag and Food,NA,NA,No identifier; discovery skipped,TRUE,TRUE
Woerman,Matt,ENRE,NA,NA,No identifier; discovery skipped,TRUE,TRUE
