funding_source_type,year,award_dollars,award_count,partial_year,year_basis
Federal,2021,2909997.33,14,FALSE,Date Sent (proposal submission cohort)
Federal,2022,3690309.4,18,FALSE,Date Sent (proposal submission cohort)
Federal,2023,51577468.84,11,FALSE,Date Sent (proposal submission cohort)
Federal,2024,862659.52,12,FALSE,Date Sent (proposal submission cohort)
Federal,2025,1044303.36,6,FALSE,Date Sent (proposal submission cohort)
Federal,2026,99999.49,1,TRUE,Date Sent (proposal submission cohort)
State,2021,127039.86,1,FALSE,Date Sent (proposal submission cohort)
State,2022,66999.3,1,FALSE,Date Sent (proposal submission cohort)
State,2023,117180.71,3,FALSE,Date Sent (proposal submission cohort)
State,2024,22072.55,1,FALSE,Date Sent (proposal submission cohort)
State,2025,0,0,FALSE,Date Sent (proposal submission cohort)
State,2026,0,0,TRUE,Date Sent (proposal submission cohort)
CSU/Internal,2021,0,0,FALSE,Date Sent (proposal submission cohort)
CSU/Internal,2022,0,0,FALSE,Date Sent (proposal submission cohort)
CSU/Internal,2023,0,0,FALSE,Date Sent (proposal submission cohort)
CSU/Internal,2024,0,0,FALSE,Date Sent (proposal submission cohort)
CSU/Internal,2025,0,0,FALSE,Date Sent (proposal submission cohort)
CSU/Internal,2026,0,0,TRUE,Date Sent (proposal submission cohort)
Foundation/nonprofit,2021,139718.19,3,FALSE,Date Sent (proposal submission cohort)
Foundation/nonprofit,2022,1411500.47,4,FALSE,Date Sent (proposal submission cohort)
Foundation/nonprofit,2023,596598.98,2,FALSE,Date Sent (proposal submission cohort)
Foundation/nonprofit,2024,18001.12,1,FALSE,Date Sent (proposal submission cohort)
Foundation/nonprofit,2025,20615.5,1,FALSE,Date Sent (proposal submission cohort)
Foundation/nonprofit,2026,24000.92,1,TRUE,Date Sent (proposal submission cohort)
Industry,2021,98637.92,1,FALSE,Date Sent (proposal submission cohort)
Industry,2022,0,0,FALSE,Date Sent (proposal submission cohort)
Industry,2023,449169.62,1,FALSE,Date Sent (proposal submission cohort)
Industry,2024,73859.15,1,FALSE,Date Sent (proposal submission cohort)
Industry,2025,0,0,FALSE,Date Sent (proposal submission cohort)
Industry,2026,0,0,TRUE,Date Sent (proposal submission cohort)
Other,2021,0,0,FALSE,Date Sent (proposal submission cohort)
Other,2022,0,0,FALSE,Date Sent (proposal submission cohort)
Other,2023,0,0,FALSE,Date Sent (proposal submission cohort)
Other,2024,54994.77,1,FALSE,Date Sent (proposal submission cohort)
Other,2025,17999.1,1,FALSE,Date Sent (proposal submission cohort)
Other,2026,0,0,TRUE,Date Sent (proposal submission cohort)
