year,area_category,n_publications
2021,Agricultural and Food Economics,39
2021,Agricultural Education,0
2021,Cross-area publications,1
2021,ENRE,23
2021,Unclassified,0
2022,Agricultural and Food Economics,27
2022,Agricultural Education,1
2022,Cross-area publications,1
2022,ENRE,20
2022,Unclassified,0
2023,Agricultural and Food Economics,22
2023,Agricultural Education,1
2023,Cross-area publications,1
2023,ENRE,17
2023,Unclassified,0
2024,Agricultural and Food Economics,30
2024,Agricultural Education,0
2024,Cross-area publications,2
2024,ENRE,16
2024,Unclassified,0
2025,Agricultural and Food Economics,34
2025,Agricultural Education,3
2025,Cross-area publications,6
2025,ENRE,14
2025,Unclassified,0
