publication_rank,journal,publication_count,publications_with_available_impact_factor,average_impact_factor,median_impact_factor,minimum_impact_factor,maximum_impact_factor,total_google_scholar_citations,average_google_scholar_citations_per_publication,years_represented
1,Applied Economic Perspectives and Policy,21,21,4.57,4.89,3.4,5.8,416,19.81,2021; 2022; 2023; 2024; 2025; 2026
2,American Journal of Agricultural Economics,11,11,4.29,4.2,3.3,4.9,483,43.91,2021; 2022; 2023; 2024; 2025; 2026
2,Rangeland Ecology & Management,11,11,2.71,2.9,2.3,2.9,67,6.09,2022; 2024; 2025; 2026
2,Western Economics Forum,11,0,NA,NA,NA,NA,42,3.82,2021; 2022; 2023; 2024; 2025
5,Food Policy,7,7,6.37,6.08,6,6.8,85,12.14,2021; 2024; 2025
5,Q Open,7,7,2.3,2.3,2.3,2.3,117,16.71,2021; 2022; 2023; 2026
5,Choices,7,0,NA,NA,NA,NA,45,6.43,2022; 2024
8,Journal of the Agricultural and Applied Economics Association,6,6,1.8,1.8,1.8,1.8,22,3.67,2023; 2024; 2026
8,Journal of Agricultural and Resource Economics,6,6,1.38,1.4,1.3,1.4,37,6.17,2023; 2024; 2025
10,Translational Animal Science,5,5,1.84,1.8,1.8,1.9,45,9,2024; 2025; 2026
10,Rangelands,5,0,NA,NA,NA,NA,122,24.4,2022; 2025
12,Water Resources Research,4,4,5.75,5.85,5,6.3,30,7.5,2022; 2024; 2025; 2026
12,Journal of the Association of Environmental and Resource Economists,4,4,3.2,3.2,3.2,3.2,109,27.25,2021; 2022; 2024
12,Agricultural Finance Review,4,4,1.9,1.9,1.9,1.9,64,16,2022; 2023
12,Land Economics,4,4,1.78,1.75,1.6,2.03,20,5,2021; 2024; 2026
16,Annual Review of Resource Economics,3,3,6.94,6.62,5.8,8.4,198,66,2021; 2022; 2024
16,Climatic Change,3,3,5.05,5.17,4.8,5.17,88,29.33,2021; 2023
16,Environmental and Resource Economics,3,3,3.95,3.5,3.4,4.96,10,3.33,2022; 2024; 2026
16,Journal of Animal Science,3,3,3.58,3.7,3.34,3.7,12,4,2021; 2025
16,PLOS ONE,3,3,3.03,2.8,2.6,3.7,40,13.33,2022; 2024; 2025
16,Agribusiness: An International Journal,3,3,2.81,2.84,2.4,3.2,38,12.67,2021; 2022; 2025
16,Journal of Agricultural Education,3,0,NA,NA,NA,NA,7,2.33,2022; 2025; 2026
16,Journal of the American Society of Farm Managers and Rural Appraisers,3,0,NA,NA,NA,NA,0,0,2022; 2024
24,Science,2,2,55.51,55.51,47.3,63.71,309,154.5,2021; 2025
24,Energy Economics,2,2,13.5,13.5,13.5,13.5,50,25,2025
24,Journal of Cleaner Production,2,2,10.9,10.9,10.7,11.1,36,18,2023; 2025
24,Science of the Total Environment,2,2,8.9,8.9,8,9.8,43,21.5,2023; 2025
24,Journal of Environmental Management,2,2,8.7,8.7,8.7,8.7,33,16.5,2022; 2023
24,WIREs Water,2,2,7.81,7.81,7.43,8.2,5,2.5,2021; 2022
24,Ecosystem Services,2,2,6.76,6.76,6.6,6.91,72,36,2021; 2024
24,Journal of Environmental Economics and Management,2,2,6.15,6.15,5.9,6.4,31,15.5,2023; 2025
24,World Development,2,2,5.1,5.1,5.1,5.1,6,3,2025; 2026
24,Scientific Reports,2,2,4.8,4.8,4.6,5,126,63,2021; 2022
24,Forest Policy and Economics,2,2,3.9,3.9,3.8,4,19,9.5,2023; 2024
24,Sustainability,2,2,3.89,3.89,3.89,3.9,9,4.5,2021; 2022
24,Frontiers in Veterinary Science,2,2,3.1,3.1,3.1,3.1,4,2,2025
24,Renewable Agriculture and Food Systems,2,2,2.81,2.81,2.7,2.92,11,5.5,2021; 2023
24,Journal of Environmental Quality,2,2,2.45,2.45,2.3,2.6,18,9,2024; 2025
24,Water Resources and Economics,2,2,2.2,2.2,2.2,2.2,24,12,2022; 2023
24,Applied Economics Teaching Resources,2,0,NA,NA,NA,NA,3,1.5,2022; 2023
24,Journal of Food Distribution Research,2,0,NA,NA,NA,NA,4,2,2021; 2023
24,NACTA Journal,2,0,NA,NA,NA,NA,9,4.5,2023; 2025
43,Nature,1,1,56.1,56.1,56.1,56.1,30,30,2026
43,Nature Ecology and Evolution,1,1,19.1,19.1,19.1,19.1,59,59,2021
43,Nature Communications,1,1,18.1,18.1,18.1,18.1,27,27,2025
43,Emerging Infectious Diseases,1,1,16.13,16.13,16.13,16.13,19,19,2021
43,Global Change Biology,1,1,12.5,12.5,12.5,12.5,3,3,2026
43,International Journal of Production Economics,1,1,12,12,12,12,37,37,2022
43,Proceedings of the National Academy of Sciences,1,1,11.1,11.1,11.1,11.1,223,223,2021
43,Resources Conservation and Recycling,1,1,10.4,10.4,10.4,10.4,10,10,2025
43,Journal of the Academy of Marketing Science,1,1,10.1,10.1,10.1,10.1,14,14,2024
43,BioScience,1,1,9.5,9.5,9.5,9.5,6,6,2025
43,Conservation Letters,1,1,8.5,8.5,8.5,8.5,26,26,2023
43,Environmental Research: Health,1,1,8.3,8.3,8.3,8.3,82,82,2022
43,IEEE Open Journal of the Computer Society,1,1,8.2,8.2,8.2,8.2,40,40,2021
43,Building and Environment,1,1,7.09,7.09,7.09,7.09,30,30,2021
43,Carbon Balance and Management,1,1,7,7,7,7,7,7,2026
43,Food Control,1,1,7,7,7,7,1,1,2026
43,Agricultural Water Management,1,1,6.7,6.7,6.7,6.7,22,22,2022
43,Food Security,1,1,6.7,6.7,6.7,6.7,17,17,2023
43,Meat Science,1,1,6.1,6.1,6.1,6.1,46,46,2024
43,Environmental Politics,1,1,5.9,5.9,5.9,5.9,47,47,2023
43,Precision Agriculture,1,1,5.77,5.77,5.77,5.77,32,32,2021
43,Environmental Research Letters,1,1,5.4,5.4,5.4,5.4,5,5,2025
43,Management Science,1,1,5.4,5.4,5.4,5.4,54,54,2023
43,Conservation Biology,1,1,5.2,5.2,5.2,5.2,1,1,2026
43,Foods,1,1,5.1,5.1,5.1,5.1,11,11,2024
43,Journal of Development Economics,1,1,5,5,5,5,1,1,2025
43,Journal of Outdoor Recreation and Tourism,1,1,4.9,4.9,4.9,4.9,8,8,2023
43,GeoHealth,1,1,4.8,4.8,4.8,4.8,13,13,2022
43,Journal of Dairy Science,1,1,4.7,4.7,4.7,4.7,0,0,2026
43,Journal of Geophysical Research: Atmospheres,1,1,4.4,4.4,4.4,4.4,18,18,2022
43,Regional Studies,1,1,4.2,4.2,4.2,4.2,14,14,2023
43,Global Ecology and Conservation,1,1,4,4,4,4,8,8,2023
43,Frontiers in Climate,1,1,3.9,3.9,3.9,3.9,2,2,2025
43,Journal of Health Economics,1,1,3.8,3.8,3.8,3.8,2,2,2026
43,Trees Forests and People,1,1,3.6,3.6,3.6,3.6,1,1,2025
43,Resource and Energy Economics,1,1,3.55,3.55,3.55,3.55,41,41,2021
43,Food and Humanity,1,1,3.5,3.5,3.5,3.5,6,6,2025
43,Journal of Agricultural Economics,1,1,3.4,3.4,3.4,3.4,202,202,2022
43,British Food Journal,1,1,3.3,3.3,3.3,3.3,8,8,2023
43,Australian Journal of Agricultural and Resource Economics,1,1,3.2,3.2,3.2,3.2,31,31,2021
43,Current Developments in Nutrition,1,1,3.2,3.2,3.2,3.2,0,0,2023
43,Ecosphere,1,1,3,3,3,3,2,2,2025
43,Environmental Research Communications,1,1,2.9,2.9,2.9,2.9,6,6,2024
43,PeerJ,1,1,2.9,2.9,2.9,2.9,0,0,2026
43,Conservation Science and Practice,1,1,2.8,2.8,2.8,2.8,3,3,2024
43,PLOS Water,1,1,2.8,2.8,2.8,2.8,15,15,2024
43,Preventive Veterinary Medicine,1,1,2.8,2.8,2.8,2.8,5,5,2025
43,Medical Decision Making,1,1,2.75,2.75,2.75,2.75,10,10,2021
43,Empirical Economics,1,1,2.65,2.65,2.65,2.65,5,5,2022
43,Harvard Data Science Review,1,1,2.5,2.5,2.5,2.5,3,3,2024
43,Infectious Disease Modelling,1,1,2.5,2.5,2.5,2.5,13,13,2022
43,Journal of School Health,1,1,2.46,2.46,2.46,2.46,21,21,2021
43,Experimental Economics,1,1,2.39,2.39,2.39,2.39,40,40,2021
43,Journal of Economic Behavior and Organization,1,1,2.3,2.3,2.3,2.3,32,32,2022
43,Journal of Forestry,1,1,2.3,2.3,2.3,2.3,32,32,2023
43,Journal of Modelling in Management,1,1,2.2,2.2,2.2,2.2,5,5,2024
43,Journal of Wine Economics,1,1,2.18,2.18,2.18,2.18,6,6,2021
43,Society & Natural Resources,1,1,2.1,2.1,2.1,2.1,0,0,2025
43,Agricultural and Resource Economics Review,1,1,2,2,2,2,7,7,2025
43,Applied Economics,1,1,1.92,1.92,1.92,1.92,17,17,2021
43,HortScience,1,1,1.87,1.87,1.87,1.87,3,3,2021
43,International Food and Agribusiness Management Review,1,1,1.8,1.8,1.8,1.8,0,0,2025
43,Small Ruminant Research,1,1,1.8,1.8,1.8,1.8,28,28,2022
43,African Journal of Range & Forage Science,1,1,1.6,1.6,1.6,1.6,1,1,2026
43,Economic Development Quarterly,1,1,1.6,1.6,1.6,1.6,1,1,2024
43,Applied Animal Science,1,1,1.5,1.5,1.5,1.5,5,5,2022
43,Human Dimensions of Wildlife,1,1,1.5,1.5,1.5,1.5,6,6,2025
43,Journal of Behavioral and Experimental Economics,1,1,1.5,1.5,1.5,1.5,0,0,2025
43,Review of Industrial Organization,1,1,1.31,1.31,1.31,1.31,21,21,2023
43,Contemporary Economic Policy,1,1,1.21,1.21,1.21,1.21,14,14,2022
43,Journal of Environmental Economics and Policy,1,1,1.2,1.2,1.2,1.2,17,17,2022
43,Invasive Plant Science and Management,1,1,1.1,1.1,1.1,1.1,5,5,2023
43,Journal of Agricultural Safety and Health,1,1,0.9,0.9,0.9,0.9,10,10,2022
43,Journal of Development Effectiveness,1,1,0.5,0.5,0.5,0.5,9,9,2024
43,Agriculture,1,0,NA,NA,NA,NA,13,13,2023
43,Conservation Science,1,0,NA,NA,NA,NA,59,59,2022
43,Crop Production,1,0,NA,NA,NA,NA,5,5,2025
43,Frontiers of Economics in China,1,0,NA,NA,NA,NA,4,4,2021
43,Global Food Security,1,0,NA,NA,NA,NA,39,39,2025
43,J. Agricultural and Environmental Information Systems,1,0,NA,NA,NA,NA,0,0,2026
43,Journal of Agribusiness,1,0,NA,NA,NA,NA,1,1,2025
43,Journal of Economic Structures,1,0,NA,NA,NA,NA,0,0,2025
43,Ocean & Coastal Management,1,0,NA,NA,NA,NA,11,11,2023
43,PARKS,1,0,NA,NA,NA,NA,46,46,2021
43,Scientific Data,1,0,NA,NA,NA,NA,1,1,2026
43,Sustainable Agriculture,1,0,NA,NA,NA,NA,3,3,2025
43,The Journal of Rural Health,1,0,NA,NA,NA,NA,1,1,2026
43,The World Economy,1,0,NA,NA,NA,NA,6,6,2025
43,Tourism and Hospitality,1,0,NA,NA,NA,NA,5,5,2024
