csu_unit_code,csu_unit,collaboration_direction,collaborative_publications,collaborative_project_proposals,funded_collaborative_projects,associated_funded_award_dollars,faculty_or_investigators_involved,research_themes,years_active,publication_component_status
1177,Agricultural Biology,DARE faculty on projects led by another CAS unit,NA,7,0,0,5,NA,2021; 2025; 2026,Unavailable: OpenAlex does not reliably identify internal CSU units
1177,Agricultural Biology,Other-unit investigators on DARE-led projects,NA,2,2,354955.24,6,NA,2022; 2025,Unavailable: OpenAlex does not reliably identify internal CSU units
1171,Animal Sciences,DARE faculty on projects led by another CAS unit,NA,12,4,714815.25,5,NA,2021; 2023; 2024; 2025,Unavailable: OpenAlex does not reliably identify internal CSU units
1171,Animal Sciences,Other-unit investigators on DARE-led projects,NA,9,4,1612131.33,10,NA,2021; 2022; 2023; 2024; 2025,Unavailable: OpenAlex does not reliably identify internal CSU units
1101,Dean of Agricultural Sciences,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
1173,Horticulture + Landscape Architecture,DARE faculty on projects led by another CAS unit,NA,4,0,0,3,NA,2021; 2022; 2025; 2026,Unavailable: OpenAlex does not reliably identify internal CSU units
1173,Horticulture + Landscape Architecture,Other-unit investigators on DARE-led projects,NA,1,1,58697.21,1,NA,2023,Unavailable: OpenAlex does not reliably identify internal CSU units
1170,Soil + Crop Sciences,DARE faculty on projects led by another CAS unit,NA,6,2,1256724.61,4,NA,2021; 2022,Unavailable: OpenAlex does not reliably identify internal CSU units
1371,NA,Other-unit investigators on DARE-led projects,NA,5,0,0,5,NA,2024; 2025,Unavailable: OpenAlex does not reliably identify internal CSU units
1033,NA,Other-unit investigators on DARE-led projects,NA,3,2,523028.77,1,NA,2023; 2024; 2025,Unavailable: OpenAlex does not reliably identify internal CSU units
1372,NA,Other-unit investigators on DARE-led projects,NA,3,2,523028.77,2,NA,2021; 2023; 2024,Unavailable: OpenAlex does not reliably identify internal CSU units
1784,NA,Other-unit investigators on DARE-led projects,NA,3,0,0,2,NA,2021; 2022,Unavailable: OpenAlex does not reliably identify internal CSU units
1877,NA,Other-unit investigators on DARE-led projects,NA,3,1,1032843.68,2,NA,2022; 2024,Unavailable: OpenAlex does not reliably identify internal CSU units
3001,NA,Other-unit investigators on DARE-led projects,NA,3,0,0,2,NA,2022; 2024,Unavailable: OpenAlex does not reliably identify internal CSU units
4030,NA,Other-unit investigators on DARE-led projects,NA,3,1,49993.47,3,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
0001,NA,Other-unit investigators on DARE-led projects,NA,2,0,0,2,NA,2021; 2023,Unavailable: OpenAlex does not reliably identify internal CSU units
1476,NA,Other-unit investigators on DARE-led projects,NA,2,1,954544.57,1,NA,2021; 2022,Unavailable: OpenAlex does not reliably identify internal CSU units
1570,NA,Other-unit investigators on DARE-led projects,NA,2,1,733863.85,1,NA,2021; 2022,Unavailable: OpenAlex does not reliably identify internal CSU units
1571,NA,Other-unit investigators on DARE-led projects,NA,2,1,99993.13,1,NA,2022; 2024,Unavailable: OpenAlex does not reliably identify internal CSU units
1790,NA,Other-unit investigators on DARE-led projects,NA,2,0,0,1,NA,2021; 2022,Unavailable: OpenAlex does not reliably identify internal CSU units
4010,NA,Other-unit investigators on DARE-led projects,NA,2,1,49999996.39,1,NA,2022; 2023,Unavailable: OpenAlex does not reliably identify internal CSU units
4040,NA,Other-unit investigators on DARE-led projects,NA,2,2,144634.6,2,NA,2025,Unavailable: OpenAlex does not reliably identify internal CSU units
4044,NA,Other-unit investigators on DARE-led projects,NA,2,1,24733.5,2,NA,2023; 2024,Unavailable: OpenAlex does not reliably identify internal CSU units
0100,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2023,Unavailable: OpenAlex does not reliably identify internal CSU units
1373,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2025,Unavailable: OpenAlex does not reliably identify internal CSU units
1374,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
147,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
1472,NA,Other-unit investigators on DARE-led projects,NA,1,1,25649.39,1,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
1474,NA,Other-unit investigators on DARE-led projects,NA,1,1,49993.47,1,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
1678,NA,Other-unit investigators on DARE-led projects,NA,1,1,25649.39,1,NA,2021,Unavailable: OpenAlex does not reliably identify internal CSU units
1776,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2024,Unavailable: OpenAlex does not reliably identify internal CSU units
1782,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2024,Unavailable: OpenAlex does not reliably identify internal CSU units
1873,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,2,NA,2025,Unavailable: OpenAlex does not reliably identify internal CSU units
3046,NA,Other-unit investigators on DARE-led projects,NA,1,1,149997.02,1,NA,2024,Unavailable: OpenAlex does not reliably identify internal CSU units
4015,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2024,Unavailable: OpenAlex does not reliably identify internal CSU units
4020,NA,Other-unit investigators on DARE-led projects,NA,1,0,0,1,NA,2022,Unavailable: OpenAlex does not reliably identify internal CSU units
