award_or_recognition,sponsoring_organization,recognition_level,year,research_area_represented,competitive_or_elected_designation,source_limitation
Monfort Professor,Provost,University,2021,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Nutrien Distinguished Scholar of Agricultural Sciences,College of Agricultural Sciences,College,2021,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Bruce Gardner Visiting Economist Award,USDA Economists Group,National,2022,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
CSU Interdisciplinary Scholarship Individual Award,Vice President for Research,University,2022,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Farm Foundation Agricultural Economics Trade Fellow,Farm Foundation,National,2022,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Global Challenges Research Team Project,"School of Global Environmental Sustainability, CSU",University,2022,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
WAEA Fellow,Western Agricultural Economics Association,National,2022,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
AAEA Fellow,Agricultural & Applied Economics Association,National,2023,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Nutrien Distinguished Scholar of Agricultural Sciences,College of Agricultural Sciences,College,2023,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
WAEA Fellow,Western Agricultural Economics Association,National,2023,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Bruce Gardner Award (1 of 2),Agricultural & Applied Economics Association,National,2024,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Bruce Gardner Award (2 of 2),Agricultural & Applied Economics Association,National,2024,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Nutrien Scholar Award,Agricultural Experiment Station / CAS,College,2024,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
CAS Early Career Scholarship Impact Award,Agricultural Experiment Station / CAS,College,2025,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Nutrien Scholar Award,Agricultural Experiment Station / CAS,College,2025,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
CAS Lincoln Laureate Award,College of Agricultural Sciences,College,2026,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Excellence in Collaborative Research Award w/ AgNext (1 of 2),College of Agricultural Sciences,College,2026,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Excellence in Collaborative Research Award w/ AgNext (2 of 2),College of Agricultural Sciences,College,2026,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
Nutrien Scholar Award,College of Agricultural Sciences,College,2026,NA,Competitive; application required,Recipient and research area are not included in awards.xlsx
