year,output_type,undergraduate_or_graduate_participation,research_area,title,conference_journal_or_venue,peer_reviewed_or_juried,external_collaborator,resulting_placement_award_or_outcome,student_evidence,partial_year
2021,JA,Not available,ENRE,COVID-19 and the renewed migration to the rural west,Western Economics Forum,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,Enhancing Understanding of Food Purchasing Patterns in the Northeast,Renewable Agriculture and Food Systems,TRUE,Economic Research Service; Johns Hopkins University,NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,Evaluation of Biological and Economic Efficiency of the All Heifer No Cow Beef Production System,Journal of Animal Science,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,Potential Impacts of Hard Infrastructure Development on Food and Agricultural Trade,Journal of Food Distribution Research,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,TRUE,Resource (United States),NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,Recent Trends in PA Technology Adoption and Bundling in Corn Production,Western Economics Forum,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,TRUE,Resource (United States),NA,See publication-level student classification,FALSE
2021,JA,Not available,Ag and Food,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,Journal of School Health,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2021,JA,Not available,ENRE,Valuing Cattle Manure as an Agricultural Resource for Efficiency and Environmental Sustainability,Sustainability,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Economic Assessment of Foot-and-Mouth Disease Outbreaks in Brazil,Q Open,TRUE,Universidade de São Paulo,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Economic and Environmental Impacts of Ballast Water Management on SIDS and LDCs,Journal of Environmental Management,TRUE,Resource (United States); University of Delaware; University of Notre Dame,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Effects of Feed Efficiency and Diet on Performance and Carcass Characteristics in Growing Wether Lambs,Small Ruminant Research,TRUE,University of Missouri; University of Wyoming,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Effects of Harvest Season on Carcass Characteristics of Lambs Harvested in the Intermountain West,Applied Animal Science,TRUE,Roman L. Hruska U.S. Meat Animal Research Center; South Dakota State University; University of Wyoming; Utah State University,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Evaluating economic impacts of prairie dog-cattle competition on ranching enterprises,Rangeland Ecology & Management,TRUE,Agricultural Research Service - Plains Area; University of Wyoming,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Farm-Level Economics of Bioenergy in the Upper Missouri River Basin,Journal of the American Society of Farm Managers and Rural Appraisers,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2022,JA,Not available,ENRE,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food; ENRE,More Risk More Money: When are Payments for Water Savings from Limited Irrigation Profitable,Water Resources and Economics,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Opportunities and Challenges Associated with Carbon Farming for US Row-Crop Producers,Choices,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2022,JA,Not available,Ag and Food,Stocking rate and marketing dates for yearling steers grazing rangelands,Rangelands,TRUE,Agricultural Research Service; Rothamsted Research; United States Department of Agriculture; University of Wyoming,NA,See publication-level student classification,FALSE
2022,JA,Not available,ENRE,Summer Crowds: USFS Campground Reservations During the COVID-19 Pandemic,PLOS ONE,TRUE,Resource (United States); Rocky Mountain Research Station,NA,See publication-level student classification,FALSE
